OpossumID	OpossumID_version	HumanGeneName	HumanID	OpossumGeneName	DevilID	DevilGeneName
ENSMODG00000011900	ENSMODG00000011900.5	TLX1	ENSG00000107807	TLX1	ENSSHAG00000013136	TLX1
ENSMODG00000046241	ENSMODG00000046241.1					
ENSMODG00000031862	ENSMODG00000031862.2					
ENSMODG00000036362	ENSMODG00000036362.2					
ENSMODG00000048851	ENSMODG00000048851.1					
ENSMODG00000044527	ENSMODG00000044527.1					
ENSMODG00000009365	ENSMODG00000009365.4	CACUL1	ENSG00000151893	CACUL1	ENSSHAG00000007970	CACUL1
ENSMODG00000043617	ENSMODG00000043617.1					
ENSMODG00000000919	ENSMODG00000000919.3	LRMDA	ENSG00000148655			
ENSMODG00000010493	ENSMODG00000010493.3	CALY	ENSG00000130643		ENSSHAG00000009223	
ENSMODG00000006780	ENSMODG00000006780.3	HECTD2	ENSG00000165338	HECTD2	ENSSHAG00000018873	HECTD2
ENSMODG00000012113	ENSMODG00000012113.4	HMG20A	ENSG00000140382	HMG20A	ENSSHAG00000012311	HMG20A
ENSMODG00000011907	ENSMODG00000011907.5	KAZALD1	ENSG00000107821	KAZALD1	ENSSHAG00000013560	KAZALD1
ENSMODG00000044106	ENSMODG00000044106.1					
ENSMODG00000038071	ENSMODG00000038071.1					
ENSMODG00000046224	ENSMODG00000046224.1					
ENSMODG00000006798	ENSMODG00000006798.4	PCGF5	ENSG00000180628	PCGF5	ENSSHAG00000018912	PCGF5
ENSMODG00000039675	ENSMODG00000039675.1					
ENSMODG00000010485	ENSMODG00000010485.4	FUOM	ENSG00000148803	FUOM	ENSSHAG00000010327	FUOM
ENSMODG00000011922	ENSMODG00000011922.4	SFXN3	ENSG00000107819	SFXN3		
ENSMODG00000012107	ENSMODG00000012107.4	PEAK1	ENSG00000173517	PEAK1	ENSSHAG00000013603	PEAK1
ENSMODG00000039932	ENSMODG00000039932.1					
ENSMODG00000036867	ENSMODG00000036867.1					
ENSMODG00000035276	ENSMODG00000035276.2					
ENSMODG00000010481	ENSMODG00000010481.4	ECHS1	ENSG00000127884	ECHS1	ENSSHAG00000010806	ECHS1
ENSMODG00000032377	ENSMODG00000032377.2					
ENSMODG00000009370	ENSMODG00000009370.3				ENSSHAG00000009643	
ENSMODG00000050891	ENSMODG00000050891.1					
ENSMODG00000045652	ENSMODG00000045652.1	PDZD7	ENSG00000186862		ENSSHAG00000013654	
ENSMODG00000045652	ENSMODG00000045652.1	PDZD7	ENSG00000186862		ENSSHAG00000013707	
ENSMODG00000036679	ENSMODG00000036679.1					
ENSMODG00000010464	ENSMODG00000010464.4	AL360181.3	ENSG00000254536		ENSSHAG00000010959	
ENSMODG00000010464	ENSMODG00000010464.4	PAOX	ENSG00000148832		ENSSHAG00000010959	
ENSMODG00000041377	ENSMODG00000041377.1					
ENSMODG00000049562	ENSMODG00000049562.1					
ENSMODG00000006827	ENSMODG00000006827.3	ANKRD1	ENSG00000148677	ANKRD1	ENSSHAG00000007323	ANKRD1
ENSMODG00000039587	ENSMODG00000039587.1					
ENSMODG00000009378	ENSMODG00000009378.1	FAM204A	ENSG00000165669		ENSSHAG00000011601	
ENSMODG00000010450	ENSMODG00000010450.4	MTG1	ENSG00000148824			
ENSMODG00000022283	ENSMODG00000022283.1	RNU6-320P	ENSG00000252320	U6		
ENSMODG00000006874	ENSMODG00000006874.4	HTR7	ENSG00000148680	HTR7	ENSSHAG00000007861	HTR7
ENSMODG00000040450	ENSMODG00000040450.1					
ENSMODG00000025145	ENSMODG00000025145.3					
ENSMODG00000011937	ENSMODG00000011937.4	PDZD7	ENSG00000186862		ENSSHAG00000013654	
ENSMODG00000011937	ENSMODG00000011937.4	PDZD7	ENSG00000186862		ENSSHAG00000013707	
ENSMODG00000047885	ENSMODG00000047885.1	TXNDC15	ENSG00000113621	TXNDC15	ENSSHAG00000014172	TXNDC15
ENSMODG00000009385	ENSMODG00000009385.4	RAB11FIP2	ENSG00000107560	RAB11FIP2	ENSSHAG00000013400	RAB11FIP2
ENSMODG00000048213	ENSMODG00000048213.1	L1TD1	ENSG00000240563			
ENSMODG00000024649	ENSMODG00000024649.2	GCNT3	ENSG00000140297	GCNT3	ENSSHAG00000011674	GCNT3
ENSMODG00000050978	ENSMODG00000050978.1					
ENSMODG00000046559	ENSMODG00000046559.1					
ENSMODG00000036653	ENSMODG00000036653.1					
ENSMODG00000051404	ENSMODG00000051404.1					
ENSMODG00000011636	ENSMODG00000011636.4	GTF2A2	ENSG00000140307		ENSSHAG00000011956	GTF2A2
ENSMODG00000011955	ENSMODG00000011955.3	LZTS2	ENSG00000107816	LZTS2	ENSSHAG00000013716	LZTS2
ENSMODG00000017246	ENSMODG00000017246.3	LRRTM3	ENSG00000198739	LRRTM3	ENSSHAG00000011438	LRRTM3
ENSMODG00000039654	ENSMODG00000039654.1					
ENSMODG00000006861	ENSMODG00000006861.4	ZFYVE1	ENSG00000165861	ZFYVE1	ENSSHAG00000013196	ZFYVE1
ENSMODG00000014344	ENSMODG00000014344.4	C5orf24	ENSG00000181904	C5orf24		
ENSMODG00000041590	ENSMODG00000041590.1					
ENSMODG00000044131	ENSMODG00000044131.1					
ENSMODG00000040056	ENSMODG00000040056.1	KCNMA1	ENSG00000156113		ENSSHAG00000017451	KCNMA1
ENSMODG00000050693	ENSMODG00000050693.1					
ENSMODG00000046549	ENSMODG00000046549.1					
ENSMODG00000026137	ENSMODG00000026137.2			U6	ENSSHAG00000020011	U6
ENSMODG00000037370	ENSMODG00000037370.1					
ENSMODG00000011966	ENSMODG00000011966.3	TWNK	ENSG00000107815	TWNK	ENSSHAG00000013767	TWNK
ENSMODG00000047805	ENSMODG00000047805.1					
ENSMODG00000011629	ENSMODG00000011629.4	BNIP2	ENSG00000140299	BNIP2	ENSSHAG00000012090	BNIP2
ENSMODG00000024887	ENSMODG00000024887.2	RPEL1	ENSG00000235376		ENSSHAG00000004887	
ENSMODG00000024887	ENSMODG00000024887.2	RPE	ENSG00000197713		ENSSHAG00000004887	
ENSMODG00000038200	ENSMODG00000038200.1	KCNMA1	ENSG00000156113		ENSSHAG00000017451	KCNMA1
ENSMODG00000017233	ENSMODG00000017233.4	CTNNA3	ENSG00000183230			
ENSMODG00000019580	ENSMODG00000019580.4	TNFSF8	ENSG00000106952	TNFSF8	ENSSHAG00000008358	TNFSF8
ENSMODG00000011975	ENSMODG00000011975.4	MRPL43	ENSG00000055950		ENSSHAG00000013782	MRPL43
ENSMODG00000006889	ENSMODG00000006889.4	DCAF4	ENSG00000119599		ENSSHAG00000013565	
ENSMODG00000006889	ENSMODG00000006889.4	DCAF4L2	ENSG00000176566		ENSSHAG00000013565	
ENSMODG00000006889	ENSMODG00000006889.4	DCAF4L1	ENSG00000182308		ENSSHAG00000013565	
ENSMODG00000009388	ENSMODG00000009388.3	EMX2	ENSG00000170370	EMX2	ENSSHAG00000015712	EMX2
ENSMODG00000025746	ENSMODG00000025746.2	BPIFB2	ENSG00000078898		ENSSHAG00000007990	
ENSMODG00000035144	ENSMODG00000035144.2					
ENSMODG00000031105	ENSMODG00000031105.2					
ENSMODG00000041510	ENSMODG00000041510.1					
ENSMODG00000050254	ENSMODG00000050254.1					
ENSMODG00000025306	ENSMODG00000025306.1				ENSSHAG00000011178	
ENSMODG00000049423	ENSMODG00000049423.1					
ENSMODG00000050826	ENSMODG00000050826.1					
ENSMODG00000010428	ENSMODG00000010428.4				ENSSHAG00000011375	
ENSMODG00000011993	ENSMODG00000011993.4	SEMA4G	ENSG00000095539	SEMA4G	ENSSHAG00000013802	SEMA4G
ENSMODG00000014331	ENSMODG00000014331.5	DDX46	ENSG00000145833	DDX46	ENSSHAG00000014408	DDX46
ENSMODG00000009394	ENSMODG00000009394.3	PDZD8	ENSG00000165650	PDZD8	ENSSHAG00000016388	
ENSMODG00000024647	ENSMODG00000024647.3	FOXB1	ENSG00000171956	FOXB1	ENSSHAG00000013988	FOXB1
ENSMODG00000010413	ENSMODG00000010413.3				ENSSHAG00000000676	
ENSMODG00000038411	ENSMODG00000038411.1					
ENSMODG00000007283	ENSMODG00000007283.4	KIF20B	ENSG00000138182	KIF20B	ENSSHAG00000013656	KIF20B
ENSMODG00000026474	ENSMODG00000026474.1	AC093872.1	ENSG00000199894			
ENSMODG00000026474	ENSMODG00000026474.1	AL732366.1	ENSG00000201592			
ENSMODG00000026474	ENSMODG00000026474.1	AC069285.1	ENSG00000199231			
ENSMODG00000026474	ENSMODG00000026474.1	AP003499.3	ENSG00000275146			
ENSMODG00000010387	ENSMODG00000010387.3	SCART1	ENSG00000214279		ENSSHAG00000011562	SCART1
ENSMODG00000033695	ENSMODG00000033695.2					
ENSMODG00000000018	ENSMODG00000000018.4	SUN5	ENSG00000167098		ENSSHAG00000008355	
ENSMODG00000050746	ENSMODG00000050746.1					
ENSMODG00000009424	ENSMODG00000009424.4	SLC18A2	ENSG00000165646	SLC18A2	ENSSHAG00000016512	SLC18A2
ENSMODG00000047772	ENSMODG00000047772.1					
ENSMODG00000041396	ENSMODG00000041396.1					
ENSMODG00000011604	ENSMODG00000011604.4	ANXA2	ENSG00000182718	ANXA2	ENSSHAG00000015232	ANXA2
ENSMODG00000045517	ENSMODG00000045517.1					
ENSMODG00000041243	ENSMODG00000041243.1					
ENSMODG00000049136	ENSMODG00000049136.1					
ENSMODG00000047808	ENSMODG00000047808.1					
ENSMODG00000051589	ENSMODG00000051589.1					
ENSMODG00000042623	ENSMODG00000042623.1					
ENSMODG00000039990	ENSMODG00000039990.1					
ENSMODG00000009428	ENSMODG00000009428.3	VAX1	ENSG00000148704	VAX1	ENSSHAG00000016892	VAX1
ENSMODG00000047068	ENSMODG00000047068.1					
ENSMODG00000038073	ENSMODG00000038073.1					
ENSMODG00000033374	ENSMODG00000033374.2					
ENSMODG00000028982	ENSMODG00000028982.2	SCART1	ENSG00000214279			
ENSMODG00000051138	ENSMODG00000051138.1					
ENSMODG00000007301	ENSMODG00000007301.5	PANK1	ENSG00000152782	PANK1	ENSSHAG00000014245	PANK1
ENSMODG00000040511	ENSMODG00000040511.1					
ENSMODG00000050574	ENSMODG00000050574.1					
ENSMODG00000011568	ENSMODG00000011568.4	ICE2	ENSG00000128915	ICE2	ENSSHAG00000015473	ICE2
ENSMODG00000049075	ENSMODG00000049075.1					
ENSMODG00000043593	ENSMODG00000043593.1					
ENSMODG00000042557	ENSMODG00000042557.1					
ENSMODG00000028976	ENSMODG00000028976.2	EFCAB8	ENSG00000215529			
ENSMODG00000037802	ENSMODG00000037802.1					
ENSMODG00000019592	ENSMODG00000019592.4	TNC	ENSG00000041982	TNC	ENSSHAG00000009497	TNC
ENSMODG00000040788	ENSMODG00000040788.1					
ENSMODG00000025296	ENSMODG00000025296.2				ENSSHAG00000012029	
ENSMODG00000010379	ENSMODG00000010379.3				ENSSHAG00000012079	
ENSMODG00000029083	ENSMODG00000029083.2	SLC22A24	ENSG00000197658		ENSSHAG00000001621	
ENSMODG00000029083	ENSMODG00000029083.2	SLC22A9	ENSG00000149742		ENSSHAG00000001621	
ENSMODG00000029083	ENSMODG00000029083.2	SLC22A10	ENSG00000184999		ENSSHAG00000001621	
ENSMODG00000029083	ENSMODG00000029083.2	SLC22A25	ENSG00000196600		ENSSHAG00000001621	
ENSMODG00000029083	ENSMODG00000029083.2	SLC22A11	ENSG00000168065		ENSSHAG00000001621	
ENSMODG00000026642	ENSMODG00000026642.1			U6		
ENSMODG00000028306	ENSMODG00000028306.2	DPF3	ENSG00000205683	DPF3	ENSSHAG00000014524	DPF3
ENSMODG00000011532	ENSMODG00000011532.4	RORA	ENSG00000069667	RORA	ENSSHAG00000015734	RORA
ENSMODG00000044101	ENSMODG00000044101.1				ENSSHAG00000012413	
ENSMODG00000009476	ENSMODG00000009476.4	SHTN1	ENSG00000187164	SHTN1	ENSSHAG00000017253	
ENSMODG00000036964	ENSMODG00000036964.1	CAMLG	ENSG00000164615	CAMLG	ENSSHAG00000014673	CAMLG
ENSMODG00000010351	ENSMODG00000010351.3				ENSSHAG00000012079	
ENSMODG00000017199	ENSMODG00000017199.4	REEP3	ENSG00000165476	REEP3	ENSSHAG00000004395	REEP3
ENSMODG00000019445	ENSMODG00000019445.4	MAPRE1	ENSG00000101367	MAPRE1	ENSSHAG00000014911	
ENSMODG00000047213	ENSMODG00000047213.1				ENSSHAG00000012170	
ENSMODG00000047213	ENSMODG00000047213.1				ENSSHAG00000012262	
ENSMODG00000037279	ENSMODG00000037279.1					
ENSMODG00000042373	ENSMODG00000042373.1					
ENSMODG00000047667	ENSMODG00000047667.1				ENSSHAG00000012413	
ENSMODG00000030317	ENSMODG00000030317.2					
ENSMODG00000013095	ENSMODG00000013095.4	EML1	ENSG00000066629	EML1	ENSSHAG00000015922	EML1
ENSMODG00000010323	ENSMODG00000010323.3					
ENSMODG00000032203	ENSMODG00000032203.2					
ENSMODG00000022409	ENSMODG00000022409.2	MIR107	ENSG00000198997	MIR107	ENSSHAG00000019785	MIR107
ENSMODG00000038916	ENSMODG00000038916.1					
ENSMODG00000019447	ENSMODG00000019447.4	DNMT3B	ENSG00000088305	DNMT3B	ENSSHAG00000005171	DNMT3B
ENSMODG00000037270	ENSMODG00000037270.1					
ENSMODG00000050705	ENSMODG00000050705.1				ENSSHAG00000012807	
ENSMODG00000009479	ENSMODG00000009479.3	LINC02218	ENSG00000249662			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L14	ENSG00000250782			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L11	ENSG00000283740			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L5	ENSG00000284234			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L8	ENSG00000283967			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L4	ENSG00000284283			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L2	ENSG00000284373			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L13	ENSG00000283776			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L12	ENSG00000249156			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L6	ENSG00000284042			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L7	ENSG00000284465			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L3	ENSG00000284439			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L10	ENSG00000284356			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11	ENSG00000064995			
ENSMODG00000009479	ENSMODG00000009479.3	TAF11L9	ENSG00000283988			
ENSMODG00000048071	ENSMODG00000048071.1					
ENSMODG00000043890	ENSMODG00000043890.1				ENSSHAG00000012807	
ENSMODG00000007350	ENSMODG00000007350.5	SLC16A12	ENSG00000152779	SLC16A12	ENSSHAG00000014683	SLC16A12
ENSMODG00000019598	ENSMODG00000019598.2	ZBTB8OS	ENSG00000176261		ENSSHAG00000010844	ZBTB8OS
ENSMODG00000046000	ENSMODG00000046000.1					
ENSMODG00000001002	ENSMODG00000001002.4	DLG5	ENSG00000151208	DLG5	ENSSHAG00000005215	DLG5
ENSMODG00000042716	ENSMODG00000042716.1	OR13A1	ENSG00000256574		ENSSHAG00000000701	
ENSMODG00000035622	ENSMODG00000035622.2					
ENSMODG00000045416	ENSMODG00000045416.1					
ENSMODG00000032202	ENSMODG00000032202.2					
ENSMODG00000046946	ENSMODG00000046946.1				ENSSHAG00000001269	
ENSMODG00000040830	ENSMODG00000040830.1					
ENSMODG00000012013	ENSMODG00000012013.4	SLF2	ENSG00000119906		ENSSHAG00000001085	
ENSMODG00000047394	ENSMODG00000047394.1	OR13A1	ENSG00000256574		ENSSHAG00000000701	
ENSMODG00000007358	ENSMODG00000007358.4	IFIT5	ENSG00000152778		ENSSHAG00000014976	
ENSMODG00000050065	ENSMODG00000050065.1					
ENSMODG00000009486	ENSMODG00000009486.4	ENO4	ENSG00000188316	ENO4	ENSSHAG00000017362	ENO4
ENSMODG00000037126	ENSMODG00000037126.1				ENSSHAG00000001269	
ENSMODG00000019450	ENSMODG00000019450.3	FO393400.1	ENSG00000285382		ENSSHAG00000006762	
ENSMODG00000019450	ENSMODG00000019450.3	COMMD7	ENSG00000149600		ENSSHAG00000006762	
ENSMODG00000047872	ENSMODG00000047872.1					
ENSMODG00000007000	ENSMODG00000007000.4	RGS6	ENSG00000182732	RGS6	ENSSHAG00000015823	RGS6
ENSMODG00000048666	ENSMODG00000048666.1				ENSSHAG00000001269	
ENSMODG00000036767	ENSMODG00000036767.1					
ENSMODG00000024882	ENSMODG00000024882.3	IFIT5	ENSG00000152778		ENSSHAG00000002618	
ENSMODG00000039706	ENSMODG00000039706.1				ENSSHAG00000001269	
ENSMODG00000045018	ENSMODG00000045018.1					
ENSMODG00000038857	ENSMODG00000038857.1	IFIT1	ENSG00000185745		ENSSHAG00000001370	
ENSMODG00000038857	ENSMODG00000038857.1	IFIT1B	ENSG00000204010		ENSSHAG00000001370	
ENSMODG00000050687	ENSMODG00000050687.1	OR13A1	ENSG00000256574		ENSSHAG00000000701	
ENSMODG00000043738	ENSMODG00000043738.1					
ENSMODG00000035732	ENSMODG00000035732.2					
ENSMODG00000048526	ENSMODG00000048526.1					
ENSMODG00000045148	ENSMODG00000045148.1				ENSSHAG00000001269	
ENSMODG00000038217	ENSMODG00000038217.1					
ENSMODG00000042456	ENSMODG00000042456.1					
ENSMODG00000041239	ENSMODG00000041239.1					
ENSMODG00000049954	ENSMODG00000049954.1					
ENSMODG00000050962	ENSMODG00000050962.1					
ENSMODG00000034475	ENSMODG00000034475.2					
ENSMODG00000009501	ENSMODG00000009501.4	HSPA12A	ENSG00000165868	HSPA12A	ENSSHAG00000017617	HSPA12A
ENSMODG00000027971	ENSMODG00000027971.2					
ENSMODG00000036389	ENSMODG00000036389.1	RNU6-334P	ENSG00000252881	U6	ENSSHAG00000019483	U6
ENSMODG00000010247	ENSMODG00000010247.4	CYP2E1	ENSG00000130649	CYP2E1	ENSSHAG00000001171	CYP2E1
ENSMODG00000042779	ENSMODG00000042779.1					
ENSMODG00000019455	ENSMODG00000019455.5	NOL4L	ENSG00000197183	NOL4L	ENSSHAG00000008698	NOL4L
ENSMODG00000040042	ENSMODG00000040042.1					
ENSMODG00000024008	ENSMODG00000024008.2	CDK1	ENSG00000170312		ENSSHAG00000017093	CDK1
ENSMODG00000037487	ENSMODG00000037487.1					
ENSMODG00000010204	ENSMODG00000010204.4				ENSSHAG00000001650	
ENSMODG00000009505	ENSMODG00000009505.3	C10orf82	ENSG00000165863			
ENSMODG00000017196	ENSMODG00000017196.5	JMJD1C	ENSG00000171988	JMJD1C	ENSSHAG00000003458	JMJD1C
ENSMODG00000007407	ENSMODG00000007407.3	CHST15	ENSG00000182022	CHST15	ENSSHAG00000009520	CHST15
ENSMODG00000019457	ENSMODG00000019457.4	ASXL1	ENSG00000171456	ASXL1	ENSSHAG00000009893	ASXL1
ENSMODG00000025781	ENSMODG00000025781.3				ENSSHAG00000001650	
ENSMODG00000009519	ENSMODG00000009519.3	PNLIPRP2	ENSG00000266200	PNLIPRP2	ENSSHAG00000017796	PNLIPRP2
ENSMODG00000025274	ENSMODG00000025274.1	OR13A1	ENSG00000256574		ENSSHAG00000001033	
ENSMODG00000041434	ENSMODG00000041434.1					
ENSMODG00000025273	ENSMODG00000025273.1	OR13A1	ENSG00000256574			
ENSMODG00000039686	ENSMODG00000039686.1	ATP5MF	ENSG00000241468			
ENSMODG00000019460	ENSMODG00000019460.5	KIF3B	ENSG00000101350	KIF3B	ENSSHAG00000010523	KIF3B
ENSMODG00000039138	ENSMODG00000039138.1					
ENSMODG00000028869	ENSMODG00000028869.2					
ENSMODG00000001036	ENSMODG00000001036.4	POLR3A	ENSG00000148606	POLR3A	ENSSHAG00000007588	POLR3A
ENSMODG00000047140	ENSMODG00000047140.1					
ENSMODG00000007502	ENSMODG00000007502.4	CPXM2	ENSG00000121898	CPXM2	ENSSHAG00000001032	
ENSMODG00000024734	ENSMODG00000024734.2					
ENSMODG00000009543	ENSMODG00000009543.4	PNLIPRP1	ENSG00000187021	PNLIPRP1		
ENSMODG00000010021	ENSMODG00000010021.3					
ENSMODG00000014243	ENSMODG00000014243.4	SEC24A	ENSG00000113615	SEC24A	ENSSHAG00000014775	SEC24A
ENSMODG00000038094	ENSMODG00000038094.1					
ENSMODG00000007046	ENSMODG00000007046.4	SIPA1L1	ENSG00000197555	SIPA1L1	ENSSHAG00000017447	SIPA1L1
