DevilID	DevilID_version	CONTIG.ALT	start	end	KaryotypeBand	DevilGeneName
ENSSHAG00000000038	ENSSHAG00000000038.1	GL834422.1	21	37035		CHUK
ENSSHAG00000000039	ENSSHAG00000000039.1	GL834462.1	21	53185		CCDC172
ENSSHAG00000000040	ENSSHAG00000000040.1	GL834485.1	21	51019		TRIP4
ENSSHAG00000000041	ENSSHAG00000000041.1	GL834555.1	21	5591		DMAC2L
ENSSHAG00000000042	ENSSHAG00000000042.1	GL835026.1	21	1313		
ENSSHAG00000000043	ENSSHAG00000000043.1	GL835064.1	21	16444		
ENSSHAG00000000044	ENSSHAG00000000044.1	GL835193.1	21	17461		B4GALT5
ENSSHAG00000000045	ENSSHAG00000000045.1	GL835366.1	21	11664		
ENSSHAG00000000046	ENSSHAG00000000046.1	GL835584.1	21	4473		
ENSSHAG00000000047	ENSSHAG00000000047.1	GL835602.1	21	9206		
ENSSHAG00000000048	ENSSHAG00000000048.1	GL835685.1	21	12728		
ENSSHAG00000000049	ENSSHAG00000000049.1	GL835995.1	21	4832		
ENSSHAG00000000050	ENSSHAG00000000050.1	GL836126.1	21	14175		SLC27A4
ENSSHAG00000000051	ENSSHAG00000000051.1	GL836428.1	21	18561		
ENSSHAG00000000052	ENSSHAG00000000052.1	GL837992.1	21	9573		ERGIC3
ENSSHAG00000000053	ENSSHAG00000000053.1	GL838407.1	21	3898		
ENSSHAG00000000054	ENSSHAG00000000054.1	GL838707.1	21	588		
ENSSHAG00000000055	ENSSHAG00000000055.1	GL839020.1	21	2416		
ENSSHAG00000000056	ENSSHAG00000000056.1	GL839552.1	21	2453		
ENSSHAG00000000057	ENSSHAG00000000057.1	GL839665.1	21	770		
ENSSHAG00000000058	ENSSHAG00000000058.1	GL840020.1	21	2484		
ENSSHAG00000000059	ENSSHAG00000000059.1	GL840488.1	21	996		
ENSSHAG00000000060	ENSSHAG00000000060.1	GL840664.1	21	1352		
ENSSHAG00000000061	ENSSHAG00000000061.1	GL840810.1	21	4131		
ENSSHAG00000000062	ENSSHAG00000000062.1	GL840975.1	21	1776		
ENSSHAG00000000063	ENSSHAG00000000063.1	GL841030.1	21	2766		
ENSSHAG00000000064	ENSSHAG00000000064.1	GL841347.1	21	324034		JARID2
ENSSHAG00000000065	ENSSHAG00000000065.1	GL841369.1	21	65339		MTDH
ENSSHAG00000000066	ENSSHAG00000000066.1	GL841428.1	21	32266		PNPLA6
ENSSHAG00000000067	ENSSHAG00000000067.1	GL841555.1	21	6530		
ENSSHAG00000000068	ENSSHAG00000000068.1	GL841636.1	21	18224		
ENSSHAG00000000069	ENSSHAG00000000069.1	GL841638.1	21	73837		
ENSSHAG00000000070	ENSSHAG00000000070.1	GL842297.1	21	18151		
ENSSHAG00000000071	ENSSHAG00000000071.1	GL842484.1	21	5735		
ENSSHAG00000000072	ENSSHAG00000000072.1	GL842682.1	21	71296		RAB6A
ENSSHAG00000000073	ENSSHAG00000000073.1	GL842768.1	21	10131		
ENSSHAG00000000074	ENSSHAG00000000074.1	GL842886.1	21	5369		
ENSSHAG00000000075	ENSSHAG00000000075.1	GL843025.1	21	9794		THAP7
ENSSHAG00000000076	ENSSHAG00000000076.1	GL843072.1	21	52667		CRHR2
ENSSHAG00000000077	ENSSHAG00000000077.1	GL843199.1	21	29013		CORO1C
ENSSHAG00000000078	ENSSHAG00000000078.1	GL843299.1	21	3239		
ENSSHAG00000000079	ENSSHAG00000000079.1	GL844164.1	21	17246		HSF1
ENSSHAG00000000080	ENSSHAG00000000080.1	GL844168.1	21	10462		DGAT1
ENSSHAG00000000081	ENSSHAG00000000081.1	GL846338.1	21	3096		
ENSSHAG00000000082	ENSSHAG00000000082.1	GL848655.1	21	2339		
ENSSHAG00000000083	ENSSHAG00000000083.1	GL848656.1	21	2012		
ENSSHAG00000000084	ENSSHAG00000000084.1	GL849142.1	21	8233		STXBP2
ENSSHAG00000000085	ENSSHAG00000000085.1	GL849358.1	21	1780		PLPP2
ENSSHAG00000000086	ENSSHAG00000000086.1	GL849397.1	21	1801		
ENSSHAG00000000087	ENSSHAG00000000087.1	GL849583.1	21	12068		
ENSSHAG00000000088	ENSSHAG00000000088.1	GL849592.1	21	48709		PIK3CB
ENSSHAG00000000089	ENSSHAG00000000089.1	GL849757.1	21	4410		PSMD8
ENSSHAG00000000090	ENSSHAG00000000090.1	GL849953.1	21	11156		
ENSSHAG00000000091	ENSSHAG00000000091.1	GL849999.1	21	45450		CD200
ENSSHAG00000000092	ENSSHAG00000000092.1	GL850070.1	21	2285		RPS5
ENSSHAG00000000093	ENSSHAG00000000093.1	GL850454.1	21	20997		
ENSSHAG00000000094	ENSSHAG00000000094.1	GL850897.1	21	37139		SEC62
ENSSHAG00000000095	ENSSHAG00000000095.1	GL851009.1	21	22500		
ENSSHAG00000000096	ENSSHAG00000000096.1	GL851071.1	21	6301		
ENSSHAG00000000097	ENSSHAG00000000097.1	GL851121.1	21	2431		
ENSSHAG00000000098	ENSSHAG00000000098.1	GL854234.1	21	3013		
ENSSHAG00000000099	ENSSHAG00000000099.1	GL854682.1	21	4209		
ENSSHAG00000000100	ENSSHAG00000000100.1	GL854891.1	21	5505		
ENSSHAG00000000101	ENSSHAG00000000101.1	GL855586.1	21	1247		
ENSSHAG00000000102	ENSSHAG00000000102.1	GL855946.1	21	1901		
ENSSHAG00000000103	ENSSHAG00000000103.1	GL856569.1	21	2651		
ENSSHAG00000000104	ENSSHAG00000000104.1	GL856824.1	21	1963		
ENSSHAG00000000105	ENSSHAG00000000105.1	GL856864.1	21	2767		FIS1
ENSSHAG00000000106	ENSSHAG00000000106.1	GL857015.1	21	31832		EIF4H
ENSSHAG00000000107	ENSSHAG00000000107.1	GL857044.1	21	51239		
ENSSHAG00000000108	ENSSHAG00000000108.1	GL857106.1	21	1105		
ENSSHAG00000000109	ENSSHAG00000000109.1	GL857516.1	21	15385		
ENSSHAG00000000110	ENSSHAG00000000110.1	GL857605.1	21	18672		RAD54L
ENSSHAG00000000111	ENSSHAG00000000111.1	GL857690.1	21	1694		RPS8
ENSSHAG00000000112	ENSSHAG00000000112.1	GL857764.1	21	57617		
ENSSHAG00000000113	ENSSHAG00000000113.1	GL857787.1	21	23027		TRIM58
ENSSHAG00000000114	ENSSHAG00000000114.1	GL858638.1	21	11923		ARRB2
ENSSHAG00000000115	ENSSHAG00000000115.1	GL859573.1	21	5720		HMGA1
ENSSHAG00000000116	ENSSHAG00000000116.1	GL860780.1	21	2801		
ENSSHAG00000000117	ENSSHAG00000000117.1	GL861423.1	21	2392		SAHAI-01
ENSSHAG00000000118	ENSSHAG00000000118.1	GL862059.1	21	20881		BAZ2A
ENSSHAG00000000119	ENSSHAG00000000119.1	GL862065.1	21	7528		GGA1
ENSSHAG00000000120	ENSSHAG00000000120.1	GL862381.1	21	5457		
ENSSHAG00000000121	ENSSHAG00000000121.1	GL862814.1	21	17093		KEL
ENSSHAG00000000122	ENSSHAG00000000122.1	GL863185.1	21	11350		PAN2
ENSSHAG00000000123	ENSSHAG00000000123.1	GL863510.1	21	3575		
ENSSHAG00000000124	ENSSHAG00000000124.1	GL864239.1	21	30521		
ENSSHAG00000000125	ENSSHAG00000000125.1	GL864424.1	21	3598		
ENSSHAG00000000126	ENSSHAG00000000126.1	GL864534.1	21	17383		NT5DC3
ENSSHAG00000000127	ENSSHAG00000000127.1	GL864568.1	21	9878		
ENSSHAG00000000128	ENSSHAG00000000128.1	GL864660.1	21	1527		
ENSSHAG00000000129	ENSSHAG00000000129.1	GL864813.1	21	221625		PDGFC
ENSSHAG00000000130	ENSSHAG00000000130.1	GL864912.1	21	94434		
ENSSHAG00000000131	ENSSHAG00000000131.1	GL864914.1	21	5117		FAU
ENSSHAG00000000132	ENSSHAG00000000132.1	GL865140.1	21	70503		MAN2B2
ENSSHAG00000000133	ENSSHAG00000000133.1	GL865155.1	21	6048		
ENSSHAG00000000134	ENSSHAG00000000134.1	GL865265.1	21	39969		TXK
ENSSHAG00000000135	ENSSHAG00000000135.1	GL866110.1	21	8347		
ENSSHAG00000000136	ENSSHAG00000000136.1	GL866830.1	21	3135		
ENSSHAG00000000137	ENSSHAG00000000137.1	GL867620.1	21	2624		
ENSSHAG00000000138	ENSSHAG00000000138.1	GL867640.1	21	8321		SUV39H1
ENSSHAG00000000139	ENSSHAG00000000139.1	GL867689.1	21	491		
ENSSHAG00000000140	ENSSHAG00000000140.1	GL867781.1	21	5145		
ENSSHAG00000000141	ENSSHAG00000000141.1	GL867843.1	21	1646		
ENSSHAG00000000142	ENSSHAG00000000142.1	GL868782.1	21	812		
ENSSHAG00000000143	ENSSHAG00000000143.1	GL870125.1	21	6441		
ENSSHAG00000000144	ENSSHAG00000000144.1	GL835091.1	22	6392		ERH
ENSSHAG00000000145	ENSSHAG00000000145.1	GL849697.1	22	762		
ENSSHAG00000000146	ENSSHAG00000000146.1	GL862508.1	22	1092		
ENSSHAG00000000147	ENSSHAG00000000147.1	GL866773.1	22	945		
ENSSHAG00000000148	ENSSHAG00000000148.1	GL835957.1	23	1273		
ENSSHAG00000000149	ENSSHAG00000000149.1	GL850291.1	23	9069		AP2A1
ENSSHAG00000000150	ENSSHAG00000000150.1	GL851656.1	23	733		
ENSSHAG00000000151	ENSSHAG00000000151.1	GL865255.1	23	55301		
ENSSHAG00000000152	ENSSHAG00000000152.1	GL834710.1	24	104423		
ENSSHAG00000000153	ENSSHAG00000000153.1	GL836159.1	24	32731		
ENSSHAG00000000154	ENSSHAG00000000154.1	GL849869.1	24	82689		UCHL3
ENSSHAG00000000155	ENSSHAG00000000155.1	GL835088.1	25	7984		
ENSSHAG00000000156	ENSSHAG00000000156.1	GL835907.1	25	11151		
ENSSHAG00000000157	ENSSHAG00000000157.1	GL867583.1	25	32080		PDZD4
ENSSHAG00000000158	ENSSHAG00000000158.1	GL835335.1	26	36725		
ENSSHAG00000000159	ENSSHAG00000000159.1	GL850461.1	26	2491		
ENSSHAG00000000160	ENSSHAG00000000160.1	GL865192.1	26	866		
ENSSHAG00000000161	ENSSHAG00000000161.1	GL867580.1	26	1700		
ENSSHAG00000000162	ENSSHAG00000000162.1	GL842455.1	27	20875		
ENSSHAG00000000163	ENSSHAG00000000163.1	GL861508.1	27	989		PGP
ENSSHAG00000000164	ENSSHAG00000000164.1	GL863204.1	27	1427		
ENSSHAG00000000165	ENSSHAG00000000165.1	GL837085.1	28	2390		
ENSSHAG00000000166	ENSSHAG00000000166.1	GL858642.1	28	4774		BCL6B
ENSSHAG00000000167	ENSSHAG00000000167.1	GL849402.1	30	691		
ENSSHAG00000000168	ENSSHAG00000000168.1	GL835172.1	32	622		
ENSSHAG00000000169	ENSSHAG00000000169.1	GL854586.1	33	979		
ENSSHAG00000000170	ENSSHAG00000000170.1	GL856873.1	33	17371		TRIM10
ENSSHAG00000000171	ENSSHAG00000000171.1	GL861688.1	33	49668		
ENSSHAG00000000172	ENSSHAG00000000172.1	GL867009.1	33	1583		
ENSSHAG00000000173	ENSSHAG00000000173.1	GL856565.1	34	2854		
ENSSHAG00000000174	ENSSHAG00000000174.1	GL850020.1	36	25165		BOK
ENSSHAG00000000175	ENSSHAG00000000175.1	GL849961.1	37	7780		
ENSSHAG00000000176	ENSSHAG00000000176.1	GL863201.1	37	1419		
ENSSHAG00000000177	ENSSHAG00000000177.1	GL839118.1	38	6814		
ENSSHAG00000000178	ENSSHAG00000000178.1	GL845151.1	38	1758		
ENSSHAG00000000179	ENSSHAG00000000179.1	GL849769.1	38	10137		
ENSSHAG00000000180	ENSSHAG00000000180.1	GL850273.1	39	1076		
ENSSHAG00000000181	ENSSHAG00000000181.1	GL857395.1	39	17254		
ENSSHAG00000000182	ENSSHAG00000000182.1	GL860302.1	40	5158		
ENSSHAG00000000183	ENSSHAG00000000183.1	GL870349.1	40	279		
ENSSHAG00000000184	ENSSHAG00000000184.1	GL864915.1	41	65310		
ENSSHAG00000000185	ENSSHAG00000000185.1	GL869948.1	41	4970		
ENSSHAG00000000186	ENSSHAG00000000186.1	GL850434.1	42	10828		
ENSSHAG00000000187	ENSSHAG00000000187.1	GL841528.1	46	510		SOCS1
ENSSHAG00000000188	ENSSHAG00000000188.1	GL857009.1	46	51171		
ENSSHAG00000000189	ENSSHAG00000000189.1	GL861546.1	46	9880		NCAPH2
ENSSHAG00000000190	ENSSHAG00000000190.1	GL869528.1	46	2206		
ENSSHAG00000000191	ENSSHAG00000000191.1	GL861872.1	47	11019		
ENSSHAG00000000192	ENSSHAG00000000192.1	GL861370.1	48	270		
ENSSHAG00000000193	ENSSHAG00000000193.1	GL862474.1	49	3754		
ENSSHAG00000000194	ENSSHAG00000000194.1	GL834949.1	50	10991		EGFL7
ENSSHAG00000000195	ENSSHAG00000000195.1	GL843826.1	51	4465		
ENSSHAG00000000196	ENSSHAG00000000196.1	GL849784.1	52	1191		
ENSSHAG00000000197	ENSSHAG00000000197.1	GL838512.1	55	1725		
ENSSHAG00000000198	ENSSHAG00000000198.1	GL853220.1	56	2007		
ENSSHAG00000000199	ENSSHAG00000000199.1	GL857330.1	56	607		
ENSSHAG00000000200	ENSSHAG00000000200.1	GL838479.1	60	4364		
ENSSHAG00000000201	ENSSHAG00000000201.1	GL857521.1	62	19288		
ENSSHAG00000000202	ENSSHAG00000000202.1	GL849766.1	66	8365		GIPR
ENSSHAG00000000203	ENSSHAG00000000203.1	GL855611.1	66	5215		
ENSSHAG00000000204	ENSSHAG00000000204.1	GL849100.1	67	507		
ENSSHAG00000000205	ENSSHAG00000000205.1	GL868243.1	67	1506		
ENSSHAG00000000206	ENSSHAG00000000206.1	GL847304.1	77	3910		
ENSSHAG00000000207	ENSSHAG00000000207.1	GL858076.1	77	1654		
ENSSHAG00000000208	ENSSHAG00000000208.1	GL867287.1	77	1159		
ENSSHAG00000000209	ENSSHAG00000000209.1	GL864724.1	78	1511		
ENSSHAG00000000210	ENSSHAG00000000210.1	GL839819.1	81	416		
ENSSHAG00000000211	ENSSHAG00000000211.1	GL841158.1	82	29858		
ENSSHAG00000000212	ENSSHAG00000000212.1	GL860565.1	84	1797		
ENSSHAG00000000213	ENSSHAG00000000213.1	GL864458.1	84	230		
ENSSHAG00000000214	ENSSHAG00000000214.1	GL851152.1	88	18654		
ENSSHAG00000000215	ENSSHAG00000000215.1	GL865018.1	88	53050		
ENSSHAG00000000216	ENSSHAG00000000216.1	GL867248.1	90	3393		
ENSSHAG00000000217	ENSSHAG00000000217.1	GL834995.1	93	494		
ENSSHAG00000000218	ENSSHAG00000000218.1	GL844382.1	93	7184		
ENSSHAG00000000219	ENSSHAG00000000219.1	GL839267.1	95	12540		CALB2
ENSSHAG00000000220	ENSSHAG00000000220.1	GL836330.1	99	20358		ACTR2
ENSSHAG00000000221	ENSSHAG00000000221.1	GL838483.1	100	1710		
ENSSHAG00000000222	ENSSHAG00000000222.1	GL863952.1	100	2294		
ENSSHAG00000000223	ENSSHAG00000000223.1	GL845842.1	110	2591		
ENSSHAG00000000224	ENSSHAG00000000224.1	GL853499.1	111	810		
ENSSHAG00000000225	ENSSHAG00000000225.1	GL857870.1	111	31361		ETNK2
ENSSHAG00000000226	ENSSHAG00000000226.1	GL856618.1	115	1560		LIN37
ENSSHAG00000000227	ENSSHAG00000000227.1	GL864038.1	116	1204		
ENSSHAG00000000228	ENSSHAG00000000228.1	GL836969.1	118	1749		
ENSSHAG00000000229	ENSSHAG00000000229.1	GL841740.1	120	5710		
ENSSHAG00000000230	ENSSHAG00000000230.1	GL851225.1	120	530		SYCN
ENSSHAG00000000231	ENSSHAG00000000231.1	GL862233.1	120	962		PHLDA1
ENSSHAG00000000232	ENSSHAG00000000232.1	GL841470.1	123	19952		SMCR8
ENSSHAG00000000233	ENSSHAG00000000233.1	GL841475.1	123	22989		
ENSSHAG00000000234	ENSSHAG00000000234.1	GL847189.1	123	2209		
ENSSHAG00000000235	ENSSHAG00000000235.1	GL866692.1	125	523		
ENSSHAG00000000236	ENSSHAG00000000236.1	GL835001.1	127	7195		
ENSSHAG00000000237	ENSSHAG00000000237.1	GL842880.1	132	20716		IARS
ENSSHAG00000000238	ENSSHAG00000000238.1	GL855424.1	132	782		
ENSSHAG00000000239	ENSSHAG00000000239.1	GL865397.1	132	1238		
ENSSHAG00000000240	ENSSHAG00000000240.1	GL848174.1	133	456		
ENSSHAG00000000241	ENSSHAG00000000241.1	GL860317.1	133	699		
ENSSHAG00000000242	ENSSHAG00000000242.1	GL850423.1	140	8373		
ENSSHAG00000000243	ENSSHAG00000000243.1	GL840457.1	145	474		
ENSSHAG00000000244	ENSSHAG00000000244.1	GL843818.1	154	10187		
ENSSHAG00000000245	ENSSHAG00000000245.1	GL862249.1	161	11364		
ENSSHAG00000000246	ENSSHAG00000000246.1	GL851346.1	162	1562		
ENSSHAG00000000247	ENSSHAG00000000247.1	GL850888.1	169	18534		SLC2A7
ENSSHAG00000000248	ENSSHAG00000000248.1	GL864672.1	172	1528		
ENSSHAG00000000249	ENSSHAG00000000249.1	GL849373.1	173	1576		
ENSSHAG00000000250	ENSSHAG00000000250.1	GL834573.1	176	147272		JAG2
ENSSHAG00000000251	ENSSHAG00000000251.1	GL851297.1	177	1923		
ENSSHAG00000000252	ENSSHAG00000000252.1	GL849767.1	181	7688		KLK7
ENSSHAG00000000253	ENSSHAG00000000253.1	GL849956.1	184	7958		
ENSSHAG00000000254	ENSSHAG00000000254.1	GL849690.1	189	5066		
ENSSHAG00000000255	ENSSHAG00000000255.1	GL850961.1	190	7165		
ENSSHAG00000000256	ENSSHAG00000000256.1	GL864311.1	191	1074		
ENSSHAG00000000257	ENSSHAG00000000257.1	GL857832.1	192	527		
ENSSHAG00000000258	ENSSHAG00000000258.1	GL866283.1	194	1009		
ENSSHAG00000000259	ENSSHAG00000000259.1	GL847281.1	201	4184		
ENSSHAG00000000260	ENSSHAG00000000260.1	GL840195.1	202	21858		
ENSSHAG00000000261	ENSSHAG00000000261.1	GL845031.1	210	1538		
ENSSHAG00000000262	ENSSHAG00000000262.1	GL849957.1	211	2537		TIRAP
ENSSHAG00000000263	ENSSHAG00000000263.1	GL867382.1	222	2258		
ENSSHAG00000000264	ENSSHAG00000000264.1	GL840876.1	229	1687		
ENSSHAG00000000265	ENSSHAG00000000265.1	GL840895.1	229	1793		
ENSSHAG00000000266	ENSSHAG00000000266.1	GL869542.1	231	2464		
ENSSHAG00000000267	ENSSHAG00000000267.1	GL841022.1	232	1497		
ENSSHAG00000000268	ENSSHAG00000000268.1	GL854883.1	234	3878		
ENSSHAG00000000269	ENSSHAG00000000269.1	GL850291.1	235	1460		
ENSSHAG00000000270	ENSSHAG00000000270.1	GL856611.1	242	2197		
ENSSHAG00000000271	ENSSHAG00000000271.1	GL865277.1	248	13518		
ENSSHAG00000000272	ENSSHAG00000000272.1	GL854126.1	249	809		
ENSSHAG00000000273	ENSSHAG00000000273.1	GL858634.1	252	5609		
ENSSHAG00000000274	ENSSHAG00000000274.1	GL867613.1	258	13734		TSPAN6
ENSSHAG00000000275	ENSSHAG00000000275.1	GL856588.1	265	1206		
ENSSHAG00000000276	ENSSHAG00000000276.1	GL843168.1	272	10875		
ENSSHAG00000000277	ENSSHAG00000000277.1	GL859073.1	276	1922		
ENSSHAG00000000278	ENSSHAG00000000278.1	GL842925.1	278	36266		
ENSSHAG00000000279	ENSSHAG00000000279.1	GL835114.1	283	22507		
ENSSHAG00000000280	ENSSHAG00000000280.1	GL851304.1	294	54166		
ENSSHAG00000000281	ENSSHAG00000000281.1	GL865577.1	295	1236		
ENSSHAG00000000282	ENSSHAG00000000282.1	GL867539.1	296	1345		
ENSSHAG00000000283	ENSSHAG00000000283.1	GL868411.1	315	1811		
ENSSHAG00000000284	ENSSHAG00000000284.1	GL849902.1	316	175156		NBEAL1
ENSSHAG00000000285	ENSSHAG00000000285.1	GL836018.1	318	1544		
ENSSHAG00000000286	ENSSHAG00000000286.1	GL854144.1	322	4399		
ENSSHAG00000000287	ENSSHAG00000000287.1	GL852095.1	330	1950		
ENSSHAG00000000288	ENSSHAG00000000288.1	GL857597.1	331	570		
ENSSHAG00000000289	ENSSHAG00000000289.1	GL849932.1	336	799		
ENSSHAG00000000290	ENSSHAG00000000290.1	GL866154.1	336	641		
ENSSHAG00000000291	ENSSHAG00000000291.1	GL850723.1	339	15761		
ENSSHAG00000000292	ENSSHAG00000000292.1	GL868805.1	339	1762		
ENSSHAG00000000293	ENSSHAG00000000293.1	GL841412.1	340	42436		UHRF1
ENSSHAG00000000294	ENSSHAG00000000294.1	GL849369.1	347	1633		
ENSSHAG00000000295	ENSSHAG00000000295.1	GL862194.1	349	1266		
ENSSHAG00000000296	ENSSHAG00000000296.1	GL841371.1	357	35300		POP1
ENSSHAG00000000297	ENSSHAG00000000297.1	GL853029.1	359	16187		
ENSSHAG00000000298	ENSSHAG00000000298.1	GL835763.1	360	87085		
ENSSHAG00000000299	ENSSHAG00000000299.1	GL850526.1	363	15045		
ENSSHAG00000000300	ENSSHAG00000000300.1	GL849711.1	366	635		
ENSSHAG00000000301	ENSSHAG00000000301.1	GL846390.1	368	4636		
ENSSHAG00000000302	ENSSHAG00000000302.1	GL849384.1	385	2199		
ENSSHAG00000000303	ENSSHAG00000000303.1	GL862015.1	385	25514		SBF1
ENSSHAG00000000304	ENSSHAG00000000304.1	GL865574.1	391	1341		
ENSSHAG00000000305	ENSSHAG00000000305.1	GL865793.1	394	1438		
ENSSHAG00000000306	ENSSHAG00000000306.1	GL844651.1	398	1771		
ENSSHAG00000000307	ENSSHAG00000000307.1	GL841411.1	402	11762		
ENSSHAG00000000308	ENSSHAG00000000308.1	GL859710.1	403	5560		
ENSSHAG00000000309	ENSSHAG00000000309.1	GL849348.1	405	1345		
ENSSHAG00000000310	ENSSHAG00000000310.1	GL856180.1	405	1511		
ENSSHAG00000000311	ENSSHAG00000000311.1	GL869897.1	410	1483		
ENSSHAG00000000312	ENSSHAG00000000312.1	GL856871.1	414	24775		FN3KRP
ENSSHAG00000000313	ENSSHAG00000000313.1	GL863000.1	416	2438		C12orf73
ENSSHAG00000000314	ENSSHAG00000000314.1	GL842630.1	417	30262		
ENSSHAG00000000315	ENSSHAG00000000315.1	GL856820.1	426	4304		
ENSSHAG00000000316	ENSSHAG00000000316.1	GL855185.1	431	1036		
ENSSHAG00000000317	ENSSHAG00000000317.1	GL857942.1	438	1196		
ENSSHAG00000000318	ENSSHAG00000000318.1	GL862224.1	440	3832		
ENSSHAG00000000319	ENSSHAG00000000319.1	GL861723.1	457	55077		
ENSSHAG00000000320	ENSSHAG00000000320.1	GL840923.1	458	1965		
ENSSHAG00000000321	ENSSHAG00000000321.1	GL841497.1	461	87269		TRRAP
ENSSHAG00000000322	ENSSHAG00000000322.1	GL841650.1	474	9872		
ENSSHAG00000000323	ENSSHAG00000000323.1	GL856583.1	481	657		
ENSSHAG00000000324	ENSSHAG00000000324.1	GL841633.1	483	4213		MTFP1
ENSSHAG00000000325	ENSSHAG00000000325.1	GL835394.1	502	30957		
ENSSHAG00000000326	ENSSHAG00000000326.1	GL863601.1	505	2698		OR9A2
ENSSHAG00000000327	ENSSHAG00000000327.1	GL850376.1	513	1202		
ENSSHAG00000000328	ENSSHAG00000000328.1	GL867898.1	514	1272		PIN4
ENSSHAG00000000329	ENSSHAG00000000329.1	GL856386.1	518	2006		OXGR1
ENSSHAG00000000330	ENSSHAG00000000330.1	GL862001.1	526	34851		MRPL3
ENSSHAG00000000331	ENSSHAG00000000331.1	GL838368.1	528	1579		
ENSSHAG00000000332	ENSSHAG00000000332.1	GL852704.1	531	8136		
ENSSHAG00000000333	ENSSHAG00000000333.1	GL834989.1	534	40870		
ENSSHAG00000000334	ENSSHAG00000000334.1	GL851098.1	544	7245		
ENSSHAG00000000335	ENSSHAG00000000335.1	GL847375.1	545	1225		
ENSSHAG00000000336	ENSSHAG00000000336.1	GL835432.1	549	68559		
ENSSHAG00000000337	ENSSHAG00000000337.1	GL850040.1	553	60307		
ENSSHAG00000000338	ENSSHAG00000000338.1	GL862342.1	555	2903		
ENSSHAG00000000339	ENSSHAG00000000339.1	GL843068.1	558	4681		
ENSSHAG00000000340	ENSSHAG00000000340.1	GL846144.1	558	1046		
ENSSHAG00000000341	ENSSHAG00000000341.1	GL851236.1	560	5569		
ENSSHAG00000000342	ENSSHAG00000000342.1	GL864422.1	564	17415		
ENSSHAG00000000343	ENSSHAG00000000343.1	GL861264.1	570	10402		
ENSSHAG00000000344	ENSSHAG00000000344.1	GL862730.1	573	2192		
ENSSHAG00000000345	ENSSHAG00000000345.1	GL834680.1	579	8005		YIPF4
ENSSHAG00000000346	ENSSHAG00000000346.1	GL854171.1	581	16881		
