CHROM,CONTIG,OFFSET,CONTIG.ALT
Chr1,Chr1_supercontig_000000101,169521777,GL834513.1
Chr1,Chr1_supercontig_000000102,171422683,GL834514.1
Chr1,Chr1_supercontig_000000103,173862875,GL834515.1
Chr1,Chr1_supercontig_000000104,174807765,GL834516.1
Chr1,Chr1_supercontig_000000105,176767489,GL834517.1
Chr1,Chr1_supercontig_000000106,176793670,GL834518.1
Chr1,Chr1_supercontig_000000107,176891890,GL834519.1
Chr1,Chr1_supercontig_000000108,177720067,GL834520.1
Chr1,Chr1_supercontig_000000109,177864897,GL834521.1
Chr1,Chr1_supercontig_000000110,179880740,GL834522.1
Chr1,Chr1_supercontig_000000111,180376714,GL834523.1
Chr1,Chr1_supercontig_000000112,181122432,GL834524.1
Chr1,Chr1_supercontig_000000113,182063393,GL834525.1
Chr1,Chr1_supercontig_000000114,182315151,GL834526.1
Chr1,Chr1_supercontig_000000115,182927186,GL834527.1
Chr1,Chr1_supercontig_000000116,185526746,GL834528.1
Chr1,Chr1_supercontig_000000117,187933228,GL834529.1
Chr1,Chr1_supercontig_000000118,189177123,GL834530.1
Chr1,Chr1_supercontig_000000119,190147099,GL834531.1
Chr1,Chr1_supercontig_000000120,192021905,GL834532.1
Chr1,Chr1_supercontig_000000121,192512121,GL834533.1
Chr1,Chr1_supercontig_000000122,193148903,GL834534.1
Chr1,Chr1_supercontig_000000123,193426859,GL834535.1
Chr1,Chr1_supercontig_000000124,193934628,GL834536.1
Chr1,Chr1_supercontig_000000125,195045986,GL834537.1
Chr1,Chr1_supercontig_000000126,195417443,GL834538.1
Chr1,Chr1_supercontig_000000127,196717656,GL834539.1
Chr1,Chr1_supercontig_000000128,199646250,GL834540.1
Chr1,Chr1_supercontig_000000129,204167028,GL834541.1
Chr1,Chr1_supercontig_000000130,209293067,GL834542.1
Chr1,Chr1_supercontig_000000131,213175431,GL834543.1
Chr1,Chr1_supercontig_000000132,214898624,GL834544.1
Chr1,Chr1_supercontig_000000133,215119570,GL834545.1
Chr1,Chr1_supercontig_000000134,215928096,GL834546.1
Chr1,Chr1_supercontig_000000135,217895545,GL834547.1
Chr1,Chr1_supercontig_000000136,218874075,GL834548.1
Chr1,Chr1_supercontig_000000137,219173334,GL834549.1
Chr1,Chr1_supercontig_000000138,220319090,GL834550.1
Chr1,Chr1_supercontig_000000139,220358599,GL834551.1
Chr1,Chr1_supercontig_000000140,221432843,GL834552.1
Chr1,Chr1_supercontig_000000141,221870539,GL834553.1
Chr1,Chr1_supercontig_000000142,222045034,GL834554.1
Chr1,Chr1_supercontig_000000143,223393774,GL834555.1
Chr1,Chr1_supercontig_000000144,223633947,GL834556.1
Chr1,Chr1_supercontig_000000145,223824043,GL834557.1
Chr1,Chr1_supercontig_000000146,223943468,GL834558.1
Chr1,Chr1_supercontig_000000147,224153702,GL834559.1
Chr1,Chr1_supercontig_000000148,224539502,GL834560.1
Chr1,Chr1_supercontig_000000149,224732918,GL834561.1
Chr1,Chr1_supercontig_000000150,225017175,GL834562.1
Chr1,Chr1_supercontig_000000151,225138920,GL834563.1
Chr1,Chr1_supercontig_000000152,225404933,GL834564.1
Chr1,Chr1_supercontig_000000153,225516762,GL834565.1
Chr1,Chr1_supercontig_000000154,226595384,GL834566.1
Chr1,Chr1_supercontig_000000155,227203248,GL834567.1
Chr1,Chr1_supercontig_000000156,227661267,GL834568.1
Chr1,Chr1_supercontig_000000157,227958888,GL834569.1
Chr1,Chr1_supercontig_000000158,228134436,GL834570.1
Chr1,Chr1_supercontig_000000159,228266610,GL834571.1
Chr1,Chr1_supercontig_000000160,228363579,GL834572.1
Chr1,Chr1_supercontig_000000161,228451871,GL834573.1
Chr1,Chr1_supercontig_000000162,228735165,GL834574.1
Chr1,Chr1_supercontig_000000163,228892399,GL834575.1
Chr1,Chr1_supercontig_000000164,229050165,GL834576.1
Chr1,Chr1_supercontig_000000165,229341649,GL834577.1
Chr1,Chr1_supercontig_000000166,233436664,GL834578.1
Chr1,Chr1_supercontig_000000167,233795177,GL834579.1
Chr1,Chr1_supercontig_000000168,234525897,GL834580.1
Chr1,Chr1_supercontig_000000169,235897088,GL834581.1
Chr1,Chr1_supercontig_000000170,235905560,GL834582.1
Chr1,Chr1_supercontig_000000171,237335921,GL834583.1
Chr1,Chr1_supercontig_000000172,239888070,GL834584.1
Chr1,Chr1_supercontig_000000173,240559884,GL834585.1
Chr1,Chr1_supercontig_000000174,240727264,GL834586.1
Chr1,Chr1_supercontig_000000175,241152247,GL834587.1
Chr1,Chr1_supercontig_000000176,242962608,GL834588.1
Chr1,Chr1_supercontig_000000177,245592769,GL834589.1
Chr1,Chr1_supercontig_000000178,248468804,GL834590.1
Chr1,Chr1_supercontig_000000179,248640756,GL834591.1
Chr1,Chr1_supercontig_000000180,250444456,GL834592.1
Chr1,Chr1_supercontig_000000181,250765545,GL834593.1
Chr1,Chr1_supercontig_000000182,252384761,GL834594.1
Chr1,Chr1_supercontig_000000183,253774510,GL834595.1
Chr1,Chr1_supercontig_000000184,256054596,GL834596.1
Chr1,Chr1_supercontig_000000185,257231187,GL834597.1
Chr1,Chr1_supercontig_000000186,258583456,GL834598.1
Chr1,Chr1_supercontig_000000187,259118999,GL834599.1
Chr1,Chr1_supercontig_000000188,259239876,GL834600.1
Chr1,Chr1_supercontig_000000189,260361815,GL834601.1
Chr1,Chr1_supercontig_000000190,260807634,GL834602.1
Chr1,Chr1_supercontig_000000191,261233815,GL834603.1
Chr1,Chr1_supercontig_000000192,265403014,GL834604.1
Chr1,Chr1_supercontig_000000193,265580398,GL834605.1
Chr1,Chr1_supercontig_000000194,267002889,GL834606.1
Chr1,Chr1_supercontig_000000195,267223980,GL834607.1
Chr1,Chr1_supercontig_000000196,267386096,GL834608.1
Chr1,Chr1_supercontig_000000197,269438539,GL834609.1
Chr1,Chr1_supercontig_000000198,274060589,GL834610.1
Chr1,Chr1_supercontig_000000199,275307572,GL834611.1
Chr1,Chr1_supercontig_000000200,275743567,GL834612.1
Chr1,Chr1_supercontig_000000201,275894655,GL834613.1
Chr1,Chr1_supercontig_000000202,276304532,GL834614.1
Chr1,Chr1_supercontig_000000203,277768027,GL834615.1
Chr1,Chr1_supercontig_000000204,278349744,GL834616.1
Chr1,Chr1_supercontig_000000205,279018214,GL834617.1
Chr1,Chr1_supercontig_000000206,280739741,GL834618.1
Chr1,Chr1_supercontig_000000207,285499377,GL834619.1
Chr1,Chr1_supercontig_000000208,286673036,GL834620.1
Chr1,Chr1_supercontig_000000209,288424683,GL834621.1
Chr1,Chr1_supercontig_000000210,289386392,GL834622.1
Chr1,Chr1_supercontig_000000211,291013637,GL834623.1
Chr1,Chr1_supercontig_000000212,291785773,GL834624.1
Chr1,Chr1_supercontig_000000213,294655896,GL834625.1
Chr1,Chr1_supercontig_000000214,298649036,GL834626.1
Chr1,Chr1_supercontig_000000215,299488859,GL834627.1
Chr1,Chr1_supercontig_000000216,303558906,GL834628.1
Chr1,Chr1_supercontig_000000217,307410292,GL834629.1
Chr1,Chr1_supercontig_000000218,309027827,GL834630.1
Chr1,Chr1_supercontig_000000219,310560616,GL834631.1
Chr1,Chr1_supercontig_000000220,310738437,GL834632.1
Chr1,Chr1_supercontig_000000221,311788181,GL834633.1
Chr1,Chr1_supercontig_000000222,315136108,GL834634.1
Chr1,Chr1_supercontig_000000223,315577051,GL834635.1
Chr1,Chr1_supercontig_000000224,319116565,GL834636.1
Chr1,Chr1_supercontig_000000225,320262557,GL834637.1
Chr1,Chr1_supercontig_000000226,322900770,GL834638.1
Chr1,Chr1_supercontig_000000227,323585160,GL834639.1
Chr1,Chr1_supercontig_000000228,324540492,GL834640.1
Chr1,Chr1_supercontig_000000229,326888592,GL834641.1
Chr1,Chr1_supercontig_000000230,327160532,GL834642.1
Chr1,Chr1_supercontig_000000231,327209751,GL834643.1
Chr1,Chr1_supercontig_000000232,329427939,GL834644.1
Chr1,Chr1_supercontig_000000233,331167701,GL834645.1
Chr1,Chr1_supercontig_000000234,335738570,GL834646.1
Chr1,Chr1_supercontig_000000235,340451125,GL834647.1
Chr1,Chr1_supercontig_000000236,343330312,GL834648.1
Chr1,Chr1_supercontig_000000237,344982446,GL834649.1
Chr1,Chr1_supercontig_000000238,346107052,GL834650.1
Chr1,Chr1_supercontig_000000239,348110549,GL834651.1
Chr1,Chr1_supercontig_000000240,352817612,GL834652.1
Chr1,Chr1_supercontig_000000241,357135303,GL834653.1
Chr1,Chr1_supercontig_000000242,357596941,GL834654.1
Chr1,Chr1_supercontig_000000243,361291038,GL834655.1
Chr1,Chr1_supercontig_000000244,361406630,GL834656.1
Chr1,Chr1_supercontig_000000245,362913401,GL834657.1
Chr1,Chr1_supercontig_000000246,363488444,GL834658.1
Chr1,Chr1_supercontig_000000247,364627916,GL834659.1
Chr1,Chr1_supercontig_000000248,368258878,GL834660.1
Chr1,Chr1_supercontig_000000249,369230704,GL834661.1
Chr1,Chr1_supercontig_000000250,369972638,GL834662.1
Chr1,Chr1_supercontig_000000251,373618143,GL834663.1
Chr1,Chr1_supercontig_000000252,374355826,GL834664.1
Chr1,Chr1_supercontig_000000253,375156611,GL834665.1
Chr1,Chr1_supercontig_000000254,377412088,GL834666.1
Chr1,Chr1_supercontig_000000255,378878814,GL834667.1
Chr1,Chr1_supercontig_000000256,381684442,GL834668.1
Chr1,Chr1_supercontig_000000257,386063904,GL834669.1
Chr1,Chr1_supercontig_000000258,386918547,GL834670.1
Chr1,Chr1_supercontig_000000259,389846528,GL834671.1
Chr1,Chr1_supercontig_000000260,393647211,GL834672.1
Chr1,Chr1_supercontig_000000261,394048914,GL834673.1
Chr1,Chr1_supercontig_000000262,394293315,GL834674.1
Chr1,Chr1_supercontig_000000263,395845897,GL834675.1
Chr1,Chr1_supercontig_000000264,396090459,GL834676.1
Chr1,Chr1_supercontig_000000265,399060928,GL834677.1
Chr1,Chr1_supercontig_000000266,400461983,GL834678.1
Chr1,Chr1_supercontig_000000267,400700389,GL834679.1
Chr1,Chr1_supercontig_000000268,401062405,GL834680.1
Chr1,Chr1_supercontig_000000269,402902907,GL834681.1
Chr1,Chr1_supercontig_000000270,403179620,GL834682.1
Chr1,Chr1_supercontig_000000271,404582828,GL834683.1
Chr1,Chr1_supercontig_000000272,406175255,GL834684.1
Chr1,Chr1_supercontig_000000273,408332558,GL834685.1
Chr1,Chr1_supercontig_000000274,408991243,GL834686.1
Chr1,Chr1_supercontig_000000275,410115865,GL834687.1
Chr1,Chr1_supercontig_000000276,410509415,GL834688.1
Chr1,Chr1_supercontig_000000277,413904645,GL834689.1
Chr1,Chr1_supercontig_000000278,415072409,GL834690.1
Chr1,Chr1_supercontig_000000279,416543557,GL834691.1
Chr1,Chr1_supercontig_000000280,416817047,GL834692.1
Chr1,Chr1_supercontig_000000281,417681670,GL834693.1
Chr1,Chr1_supercontig_000000282,419443440,GL834694.1
Chr1,Chr1_supercontig_000000283,422104819,GL834695.1
Chr1,Chr1_supercontig_000000284,422256231,GL834696.1
Chr1,Chr1_supercontig_000000285,425885512,GL834697.1
Chr1,Chr1_supercontig_000000286,426236886,GL834698.1
Chr1,Chr1_supercontig_000000287,426238401,GL834699.1
Chr1,Chr1_supercontig_000000288,428798845,GL834700.1
Chr1,Chr1_supercontig_000000289,430068669,GL834701.1
Chr1,Chr1_supercontig_000000290,432020033,GL834702.1
Chr1,Chr1_supercontig_000000291,433006583,GL834703.1
Chr1,Chr1_supercontig_000000292,434108094,GL834704.1
Chr1,Chr1_supercontig_000000293,434917695,GL834705.1
Chr1,Chr1_supercontig_000000294,435446379,GL834706.1
Chr1,Chr1_supercontig_000000295,437467971,GL834707.1
Chr1,Chr1_supercontig_000000296,437624885,GL834708.1
Chr1,Chr1_supercontig_000000297,439048441,GL834709.1
Chr1,Chr1_supercontig_000000298,442930377,GL834710.1
Chr1,Chr1_supercontig_000000299,447626176,GL834711.1
Chr1,Chr1_supercontig_000000300,447656494,GL834712.1
Chr1,Chr1_supercontig_000000301,447658724,GL834713.1
Chr1,Chr1_supercontig_000000302,451905533,GL834714.1
Chr1,Chr1_supercontig_000000303,452417411,GL834715.1
Chr1,Chr1_supercontig_000000304,456081093,GL834716.1
Chr1,Chr1_supercontig_000000305,457342179,GL834717.1
Chr1,Chr1_supercontig_000000306,460506289,GL834718.1
Chr1,Chr1_supercontig_000000307,461339769,GL834719.1
Chr1,Chr1_supercontig_000000308,464246806,GL834720.1
Chr1,Chr1_supercontig_000000309,464470690,GL834721.1
Chr1,Chr1_supercontig_000000310,468234195,GL834722.1
Chr1,Chr1_supercontig_000000311,473052288,GL834723.1
Chr1,Chr1_supercontig_000000312,476994784,GL834724.1
Chr1,Chr1_supercontig_000000313,480034620,GL834725.1
Chr1,Chr1_supercontig_000000314,480493426,GL834726.1
Chr1,Chr1_supercontig_000000315,481815324,GL834727.1
Chr1,Chr1_supercontig_000000316,483427797,GL834728.1
Chr1,Chr1_supercontig_000000317,486089089,GL834729.1
Chr1,Chr1_supercontig_000000318,487282904,GL834730.1
Chr1,Chr1_supercontig_000000319,488606204,GL834731.1
Chr1,Chr1_supercontig_000000320,490270884,GL834732.1
Chr1,Chr1_supercontig_000000321,494837891,GL834733.1
Chr1,Chr1_supercontig_000000322,495955961,GL834734.1
Chr1,Chr1_supercontig_000000323,497546365,GL834735.1
Chr1,Chr1_supercontig_000000324,497722486,GL834736.1
Chr1,Chr1_supercontig_000000325,500322381,GL834737.1
Chr1,Chr1_supercontig_000000326,500881736,GL834738.1
Chr1,Chr1_supercontig_000000327,500993516,GL834739.1
Chr1,Chr1_supercontig_000000328,503240563,GL834740.1
Chr1,Chr1_supercontig_000000329,504972971,GL834741.1
Chr1,Chr1_supercontig_000000330,505013740,GL834742.1
Chr1,Chr1_supercontig_000000331,505854649,GL834743.1
Chr1,Chr1_supercontig_000000332,510748633,GL834744.1
Chr1,Chr1_supercontig_000000333,512999179,GL834745.1
Chr1,Chr1_supercontig_000000334,513119682,GL834746.1
Chr1,Chr1_supercontig_000000335,515876292,GL834747.1
Chr1,Chr1_supercontig_000000336,516655773,GL834748.1
Chr1,Chr1_supercontig_000000337,516872609,GL834749.1
Chr1,Chr1_supercontig_000000338,520748118,GL834750.1
Chr1,Chr1_supercontig_000000339,520949262,GL834751.1
Chr1,Chr1_supercontig_000000340,522211774,GL834752.1
Chr1,Chr1_supercontig_000000341,522273627,GL834753.1
Chr1,Chr1_supercontig_000000342,525280293,GL834754.1
Chr1,Chr1_supercontig_000000343,526997267,GL834755.1
Chr1,Chr1_supercontig_000000344,527312682,GL834756.1
Chr1,Chr1_supercontig_000000345,527510598,GL834757.1
Chr1,Chr1_supercontig_000000346,527579894,GL834758.1
Chr1,Chr1_supercontig_000000347,528182288,GL834759.1
Chr1,Chr1_supercontig_000000348,531145768,GL834760.1
Chr1,Chr1_supercontig_000000349,531376418,GL834761.1
Chr1,Chr1_supercontig_000000350,532794083,GL834762.1
Chr1,Chr1_supercontig_000000351,532938419,GL834763.1
Chr1,Chr1_supercontig_000000352,533725695,GL834764.1
Chr1,Chr1_supercontig_000000353,534959935,GL834765.1
Chr1,Chr1_supercontig_000000354,536695897,GL834766.1
Chr1,Chr1_supercontig_000000355,539685995,GL834767.1
Chr1,Chr1_supercontig_000000356,540938015,GL834768.1
Chr1,Chr1_supercontig_000000357,542997536,GL834769.1
Chr1,Chr1_supercontig_000000358,544936171,GL834770.1
Chr1,Chr1_supercontig_000000359,547736705,GL834771.1
Chr1,Chr1_supercontig_000000360,548244149,GL834772.1
Chr1,Chr1_supercontig_000000361,548496251,GL834773.1
Chr1,Chr1_supercontig_000000362,548826915,GL834774.1
Chr1,Chr1_supercontig_000000363,549134954,GL834775.1
Chr1,Chr1_supercontig_000000364,550124668,GL834776.1
Chr1,Chr1_supercontig_000000365,550535378,GL834777.1
Chr1,Chr1_supercontig_000000366,551911281,GL834778.1
Chr1,Chr1_supercontig_000000367,552254833,GL834779.1
Chr1,Chr1_supercontig_000000368,553796280,GL834780.1
Chr1,Chr1_supercontig_000000369,554073963,GL834781.1
Chr1,Chr1_supercontig_000000370,554348625,GL834782.1
Chr1,Chr1_supercontig_000000371,556543074,GL834783.1
Chr1,Chr1_supercontig_000000372,557295526,GL834784.1
Chr1,Chr1_supercontig_000000373,558530480,GL834785.1
Chr1,Chr1_supercontig_000000374,560275829,GL834786.1
Chr1,Chr1_supercontig_000000375,560458666,GL834787.1
Chr1,Chr1_supercontig_000000376,562788271,GL834788.1
Chr1,Chr1_supercontig_000000377,564258509,GL834789.1
Chr1,Chr1_supercontig_000000378,565476948,GL834790.1
Chr1,Chr1_supercontig_000000379,566689975,GL834791.1
Chr1,Chr1_supercontig_000000380,567425051,GL834792.1
Chr1,Chr1_supercontig_000000381,569799228,GL834793.1
Chr1,Chr1_supercontig_000000382,571327696,GL834794.1
Chr1,Chr1_supercontig_000000383,573600219,GL834795.1
Chr1,Chr1_supercontig_000000384,574261179,GL834796.1
Chr1,Chr1_supercontig_000000385,575703943,GL834797.1
Chr1,Chr1_supercontig_000000386,576281467,GL834798.1
Chr1,Chr1_supercontig_000000387,576985842,GL834799.1
Chr1,Chr1_supercontig_000000388,577737475,GL834800.1
Chr1,Chr1_supercontig_000000389,577836825,GL834801.1
Chr1,Chr1_supercontig_000000390,579064214,GL834802.1
Chr1,Chr1_supercontig_000000391,580178576,GL834803.1
Chr1,Chr1_supercontig_000000392,580182429,GL834804.1
Chr1,Chr1_supercontig_000000393,580184048,GL834805.1
Chr1,Chr1_supercontig_000000394,580186403,GL834806.1
Chr1,Chr1_supercontig_000000395,580931693,GL834807.1
Chr1,Chr1_supercontig_000000396,581230678,GL834808.1
Chr1,Chr1_supercontig_000000397,582166379,GL834809.1
Chr1,Chr1_supercontig_000000398,582481261,GL834810.1
Chr1,Chr1_supercontig_000000399,582483498,GL834811.1
Chr1,Chr1_supercontig_000000400,582779248,GL834812.1
Chr1,Chr1_supercontig_000000401,583000357,GL834813.1
Chr1,Chr1_supercontig_000000402,583371457,GL834814.1
Chr1,Chr1_supercontig_000000403,583392426,GL834815.1
Chr1,Chr1_supercontig_000000404,583514740,GL834816.1
Chr1,Chr1_supercontig_000000405,583545583,GL834817.1
Chr1,Chr1_supercontig_000000406,583580372,GL834818.1
Chr1,Chr1_supercontig_000000407,583642926,GL834819.1
Chr1,Chr1_supercontig_000000408,583764055,GL834820.1
Chr1,Chr1_supercontig_000000409,583911206,GL834821.1
Chr1,Chr1_supercontig_000000410,584295633,GL834822.1
Chr1,Chr1_supercontig_000000411,584715563,GL834823.1
Chr1,Chr1_supercontig_000000412,584803504,GL834824.1
Chr1,Chr1_supercontig_000000413,584862603,GL834825.1
Chr1,Chr1_supercontig_000000414,584898424,GL834826.1
Chr1,Chr1_supercontig_000000415,585184656,GL834827.1
Chr1,Chr1_supercontig_000000416,585217463,GL834828.1
Chr1,Chr1_supercontig_000000417,585274036,GL834829.1
Chr1,Chr1_supercontig_000000418,585347246,GL834830.1
Chr1,Chr1_supercontig_000000419,585420102,GL834831.1
Chr1,Chr1_supercontig_000000420,585477431,GL834832.1
Chr1,Chr1_supercontig_000000421,585614272,GL834833.1
Chr1,Chr1_supercontig_000000422,585735355,GL834834.1
Chr1,Chr1_supercontig_000000423,585742898,GL834835.1
Chr1,Chr1_supercontig_000000424,585833981,GL834836.1
Chr1,Chr1_supercontig_000000425,585962667,GL834837.1
Chr1,Chr1_supercontig_000000426,586063059,GL834838.1
Chr1,Chr1_supercontig_000000427,586199374,GL834839.1
Chr1,Chr1_supercontig_000000428,586410177,GL834840.1
Chr1,Chr1_supercontig_000000429,586542884,GL834841.1
Chr1,Chr1_supercontig_000000430,586574550,GL834842.1
Chr1,Chr1_supercontig_000000431,586812764,GL834843.1
Chr1,Chr1_supercontig_000000432,586876530,GL834844.1
Chr1,Chr1_supercontig_000000433,586989472,GL834845.1
Chr1,Chr1_supercontig_000000434,587225122,GL834846.1
Chr1,Chr1_supercontig_000000435,587405631,GL834847.1
Chr1,Chr1_supercontig_000000436,587455955,GL834848.1
Chr1,Chr1_supercontig_000000437,587711356,GL834849.1
Chr1,Chr1_supercontig_000000438,587944678,GL834850.1
Chr1,Chr1_supercontig_000000439,587998867,GL834851.1
Chr1,Chr1_supercontig_000000440,588065140,GL834852.1
Chr1,Chr1_supercontig_000000441,588135161,GL834853.1
Chr1,Chr1_supercontig_000000442,588392703,GL834854.1
Chr1,Chr1_supercontig_000000443,588425492,GL834855.1
Chr1,Chr1_supercontig_000000444,588478772,GL834856.1
Chr1,Chr1_supercontig_000000445,588533681,GL834857.1
Chr1,Chr1_supercontig_000000446,588683855,GL834858.1
Chr1,Chr1_supercontig_000000447,588995445,GL834859.1
Chr1,Chr1_supercontig_000000448,589108407,GL834860.1
Chr1,Chr1_supercontig_000000449,589190136,GL834861.1
Chr1,Chr1_supercontig_000000450,589269313,GL834862.1
Chr1,Chr1_supercontig_000000451,589381518,GL834863.1
Chr1,Chr1_supercontig_000000452,589433451,GL834864.1
Chr1,Chr1_supercontig_000000453,589462381,GL834865.1
Chr1,Chr1_supercontig_000000454,589478639,GL834866.1
Chr1,Chr1_supercontig_000000455,589549411,GL834867.1
Chr1,Chr1_supercontig_000000456,589574308,GL834868.1
Chr1,Chr1_supercontig_000000457,589622181,GL834869.1
Chr1,Chr1_supercontig_000000458,589731057,GL834870.1
Chr1,Chr1_supercontig_000000459,589785649,GL834871.1
Chr1,Chr1_supercontig_000000460,589846786,GL834872.1
Chr1,Chr1_supercontig_000000461,589918086,GL834873.1
Chr1,Chr1_supercontig_000000462,589982970,GL834874.1
Chr1,Chr1_supercontig_000000463,590135296,GL834875.1
