Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Opossum gene name	Opossum gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSSHAG00000000030	ENSSHAG00000000030.1	ENSSHAT00000000032	ENSSHAT00000000032.1				GL841974.1	11	1845
ENSSHAG00000000031	ENSSHAG00000000031.1	ENSSHAT00000000033	ENSSHAT00000000033.1		ENSMODG00000023947		GL849367.1	11	1801
ENSSHAG00000000032	ENSSHAG00000000032.1	ENSSHAT00000000034	ENSSHAT00000000034.1	GDF6	ENSMODG00000006980	GDF6	GL841368.1	13	24826
ENSSHAG00000000032	ENSSHAG00000000032.1	ENSSHAT00000000035	ENSSHAT00000000035.1	GDF6	ENSMODG00000006980	GDF6	GL841368.1	13	24826
ENSSHAG00000000033	ENSSHAG00000000033.1	ENSSHAT00000000036	ENSSHAT00000000036.1				GL853216.1	13	2287
ENSSHAG00000000034	ENSSHAG00000000034.1	ENSSHAT00000000037	ENSSHAT00000000037.1	STRN4	ENSMODG00000009136		GL850436.1	15	3256
ENSSHAG00000000035	ENSSHAG00000000035.1	ENSSHAT00000000038	ENSSHAT00000000038.1				GL834840.1	16	693
ENSSHAG00000000036	ENSSHAG00000000036.1	ENSSHAT00000000039	ENSSHAT00000000039.1				GL852009.1	16	1520
ENSSHAG00000000037	ENSSHAG00000000037.1	ENSSHAT00000000040	ENSSHAT00000000040.1	SRPK3	ENSMODG00000039232	SRPK3	GL867955.1	17	6974
ENSSHAG00000000038	ENSSHAG00000000038.1	ENSSHAT00000000041	ENSSHAT00000000041.1	CHUK	ENSMODG00000010543	CHUK	GL834422.1	21	37035
ENSSHAG00000000038	ENSSHAG00000000038.1	ENSSHAT00000000042	ENSSHAT00000000042.1	CHUK	ENSMODG00000010543	CHUK	GL834422.1	21	37035
ENSSHAG00000000039	ENSSHAG00000000039.1	ENSSHAT00000000043	ENSSHAT00000000043.1	CCDC172	ENSMODG00000009589	CCDC172	GL834462.1	21	53185
ENSSHAG00000000040	ENSSHAG00000000040.1	ENSSHAT00000000044	ENSSHAT00000000044.1	TRIP4	ENSMODG00000010743	TRIP4	GL834485.1	21	51019
ENSSHAG00000000041	ENSSHAG00000000041.1	ENSSHAT00000000045	ENSSHAT00000000045.1	DMAC2L	ENSMODG00000028477	DMAC2L	GL834555.1	21	5591
ENSSHAG00000000042	ENSSHAG00000000042.1	ENSSHAT00000000046	ENSSHAT00000000046.1	SLC16A9	ENSMODG00000016083		GL835026.1	21	1313
ENSSHAG00000000043	ENSSHAG00000000043.1	ENSSHAT00000000047	ENSSHAT00000000047.1		ENSMODG00000019493		GL835064.1	21	16444
ENSSHAG00000000043	ENSSHAG00000000043.1	ENSSHAT00000000048	ENSSHAT00000000048.1		ENSMODG00000019493		GL835064.1	21	16444
ENSSHAG00000000044	ENSSHAG00000000044.1	ENSSHAT00000000049	ENSSHAT00000000049.1			B4GALT5	GL835193.1	21	17461
ENSSHAG00000000045	ENSSHAG00000000045.1	ENSSHAT00000000050	ENSSHAT00000000050.1		ENSMODG00000040099		GL835366.1	21	11664
ENSSHAG00000000045	ENSSHAG00000000045.1	ENSSHAT00000000050	ENSSHAT00000000050.1		ENSMODG00000013029		GL835366.1	21	11664
ENSSHAG00000000045	ENSSHAG00000000045.1	ENSSHAT00000000050	ENSSHAT00000000050.1		ENSMODG00000006445		GL835366.1	21	11664
ENSSHAG00000000046	ENSSHAG00000000046.1	ENSSHAT00000000051	ENSSHAT00000000051.1				GL835584.1	21	4473
ENSSHAG00000000047	ENSSHAG00000000047.1	ENSSHAT00000000052	ENSSHAT00000000052.1	MBL2	ENSMODG00000001491		GL835602.1	21	9206
ENSSHAG00000000048	ENSSHAG00000000048.1	ENSSHAT00000000053	ENSSHAT00000000053.1				GL835685.1	21	12728
ENSSHAG00000000049	ENSSHAG00000000049.1	ENSSHAT00000000054	ENSSHAT00000000054.1				GL835995.1	21	4832
ENSSHAG00000000050	ENSSHAG00000000050.1	ENSSHAT00000000055	ENSSHAT00000000055.1	SLC27A4	ENSMODG00000005970	SLC27A4	GL836126.1	21	14175
ENSSHAG00000000051	ENSSHAG00000000051.1	ENSSHAT00000000056	ENSSHAT00000000056.1	AGPAT5	ENSMODG00000012074		GL836428.1	21	18561
ENSSHAG00000000052	ENSSHAG00000000052.1	ENSSHAT00000000057	ENSSHAT00000000057.1	ERGIC3	ENSMODG00000001767	ERGIC3	GL837992.1	21	9573
ENSSHAG00000000052	ENSSHAG00000000052.1	ENSSHAT00000000058	ENSSHAT00000000058.1	ERGIC3	ENSMODG00000001767	ERGIC3	GL837992.1	21	9573
ENSSHAG00000000053	ENSSHAG00000000053.1	ENSSHAT00000000059	ENSSHAT00000000059.1				GL838407.1	21	3898
ENSSHAG00000000054	ENSSHAG00000000054.1	ENSSHAT00000000060	ENSSHAT00000000060.1				GL838707.1	21	588
ENSSHAG00000000055	ENSSHAG00000000055.1	ENSSHAT00000000061	ENSSHAT00000000061.1		ENSMODG00000038794		GL839020.1	21	2416
ENSSHAG00000000056	ENSSHAG00000000056.1	ENSSHAT00000000062	ENSSHAT00000000062.1				GL839552.1	21	2453
ENSSHAG00000000057	ENSSHAG00000000057.1	ENSSHAT00000000063	ENSSHAT00000000063.1		ENSMODG00000037812		GL839665.1	21	770
ENSSHAG00000000058	ENSSHAG00000000058.1	ENSSHAT00000000064	ENSSHAT00000000064.1		ENSMODG00000019589		GL840020.1	21	2484
ENSSHAG00000000059	ENSSHAG00000000059.1	ENSSHAT00000000065	ENSSHAT00000000065.1				GL840488.1	21	996
ENSSHAG00000000060	ENSSHAG00000000060.1	ENSSHAT00000000066	ENSSHAT00000000066.1		ENSMODG00000040850		GL840664.1	21	1352
ENSSHAG00000000060	ENSSHAG00000000060.1	ENSSHAT00000000066	ENSSHAT00000000066.1		ENSMODG00000051233		GL840664.1	21	1352
ENSSHAG00000000060	ENSSHAG00000000060.1	ENSSHAT00000000066	ENSSHAT00000000066.1		ENSMODG00000046157		GL840664.1	21	1352
ENSSHAG00000000061	ENSSHAG00000000061.1	ENSSHAT00000000067	ENSSHAT00000000067.1	SPAG4	ENSMODG00000001669		GL840810.1	21	4131
ENSSHAG00000000062	ENSSHAG00000000062.1	ENSSHAT00000000068	ENSSHAT00000000068.1				GL840975.1	21	1776
ENSSHAG00000000062	ENSSHAG00000000062.1	ENSSHAT00000000069	ENSSHAT00000000069.1				GL840975.1	21	1776
ENSSHAG00000000063	ENSSHAG00000000063.1	ENSSHAT00000000070	ENSSHAT00000000070.1	ESRP2	ENSMODG00000005183		GL841030.1	21	2766
ENSSHAG00000000063	ENSSHAG00000000063.1	ENSSHAT00000000071	ENSSHAT00000000071.1	ESRP2	ENSMODG00000005183		GL841030.1	21	2766
ENSSHAG00000000064	ENSSHAG00000000064.1	ENSSHAT00000000072	ENSSHAT00000000072.1	JARID2	ENSMODG00000010746	JARID2	GL841347.1	21	324034
ENSSHAG00000000065	ENSSHAG00000000065.1	ENSSHAT00000000073	ENSSHAT00000000073.1	MTDH	ENSMODG00000006865	MTDH	GL841369.1	21	65339
ENSSHAG00000000066	ENSSHAG00000000066.1	ENSSHAT00000000074	ENSSHAT00000000074.1	PNPLA6	ENSMODG00000015066	PNPLA6	GL841428.1	21	32266
ENSSHAG00000000067	ENSSHAG00000000067.1	ENSSHAT00000000075	ENSSHAT00000000075.1		ENSMODG00000049394		GL841555.1	21	6530
ENSSHAG00000000067	ENSSHAG00000000067.1	ENSSHAT00000000076	ENSSHAT00000000076.1		ENSMODG00000049394		GL841555.1	21	6530
ENSSHAG00000000068	ENSSHAG00000000068.1	ENSSHAT00000000077	ENSSHAT00000000077.1		ENSMODG00000009307		GL841636.1	21	18224
ENSSHAG00000000068	ENSSHAG00000000068.1	ENSSHAT00000000078	ENSSHAT00000000078.1		ENSMODG00000009307		GL841636.1	21	18224
ENSSHAG00000000069	ENSSHAG00000000069.1	ENSSHAT00000000079	ENSSHAT00000000079.1		ENSMODG00000020872		GL841638.1	21	73837
ENSSHAG00000000069	ENSSHAG00000000069.1	ENSSHAT00000000080	ENSSHAT00000000080.1		ENSMODG00000020872		GL841638.1	21	73837
ENSSHAG00000000069	ENSSHAG00000000069.1	ENSSHAT00000000081	ENSSHAT00000000081.1		ENSMODG00000020872		GL841638.1	21	73837
ENSSHAG00000000070	ENSSHAG00000000070.1	ENSSHAT00000000082	ENSSHAT00000000082.1		ENSMODG00000040543		GL842297.1	21	18151
ENSSHAG00000000071	ENSSHAG00000000071.1	ENSSHAT00000000083	ENSSHAT00000000083.1		ENSMODG00000028017		GL842484.1	21	5735
ENSSHAG00000000072	ENSSHAG00000000072.1	ENSSHAT00000000084	ENSSHAT00000000084.1	RAB6A	ENSMODG00000007600	RAB6A	GL842682.1	21	71296
ENSSHAG00000000072	ENSSHAG00000000072.1	ENSSHAT00000000085	ENSSHAT00000000085.1	RAB6A	ENSMODG00000007600	RAB6A	GL842682.1	21	71296
ENSSHAG00000000073	ENSSHAG00000000073.1	ENSSHAT00000000086	ENSSHAT00000000086.1		ENSMODG00000047681		GL842768.1	21	10131
ENSSHAG00000000074	ENSSHAG00000000074.1	ENSSHAT00000000087	ENSSHAT00000000087.1	PXN	ENSMODG00000015114		GL842886.1	21	5369
ENSSHAG00000000075	ENSSHAG00000000075.1	ENSSHAT00000000088	ENSSHAT00000000088.1	THAP7	ENSMODG00000044792	THAP7	GL843025.1	21	9794
ENSSHAG00000000076	ENSSHAG00000000076.1	ENSSHAT00000000089	ENSSHAT00000000089.1		ENSMODG00000021162	CRHR2	GL843072.1	21	52667
ENSSHAG00000000077	ENSSHAG00000000077.1	ENSSHAT00000000090	ENSSHAT00000000090.1	CORO1C	ENSMODG00000002824	CORO1C	GL843199.1	21	29013
ENSSHAG00000000078	ENSSHAG00000000078.1	ENSSHAT00000000091	ENSSHAT00000000091.1		ENSMODG00000028017		GL843299.1	21	3239
ENSSHAG00000000079	ENSSHAG00000000079.1	ENSSHAT00000000092	ENSSHAT00000000092.1		ENSMODG00000010663	HSF1	GL844164.1	21	17246
ENSSHAG00000000080	ENSSHAG00000000080.1	ENSSHAT00000000093	ENSSHAT00000000093.1	DGAT1	ENSMODG00000010682	DGAT1	GL844168.1	21	10462
ENSSHAG00000000081	ENSSHAG00000000081.1	ENSSHAT00000000094	ENSSHAT00000000094.1				GL846338.1	21	3096
ENSSHAG00000000082	ENSSHAG00000000082.1	ENSSHAT00000000095	ENSSHAT00000000095.1		ENSMODG00000028017		GL848655.1	21	2339
ENSSHAG00000000083	ENSSHAG00000000083.1	ENSSHAT00000000096	ENSSHAT00000000096.1		ENSMODG00000028017		GL848656.1	21	2012
ENSSHAG00000000084	ENSSHAG00000000084.1	ENSSHAT00000000097	ENSSHAT00000000097.1	STXBP2	ENSMODG00000015002	STXBP2	GL849142.1	21	8233
ENSSHAG00000000085	ENSSHAG00000000085.1	ENSSHAT00000000098	ENSSHAT00000000098.1	PLPP2	ENSMODG00000006556	PLPP2	GL849358.1	21	1780
ENSSHAG00000000086	ENSSHAG00000000086.1	ENSSHAT00000000099	ENSSHAT00000000099.1				GL849397.1	21	1801
ENSSHAG00000000087	ENSSHAG00000000087.1	ENSSHAT00000000100	ENSSHAT00000000100.1		ENSMODG00000018311		GL849583.1	21	12068
ENSSHAG00000000088	ENSSHAG00000000088.1	ENSSHAT00000000101	ENSSHAT00000000101.1	PIK3CB	ENSMODG00000018581	PIK3CB	GL849592.1	21	48709
ENSSHAG00000000089	ENSSHAG00000000089.1	ENSSHAT00000000102	ENSSHAT00000000102.1		ENSMODG00000043878	PSMD8	GL849757.1	21	4410
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000051417		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000048756		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000008381		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000024504		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000049860		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000024127		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000029094		GL849953.1	21	11156
ENSSHAG00000000090	ENSSHAG00000000090.1	ENSSHAT00000000103	ENSSHAT00000000103.1		ENSMODG00000038112		GL849953.1	21	11156
ENSSHAG00000000091	ENSSHAG00000000091.1	ENSSHAT00000000104	ENSSHAT00000000104.1		ENSMODG00000043948	CD200	GL849999.1	21	45450
ENSSHAG00000000091	ENSSHAG00000000091.1	ENSSHAT00000000105	ENSSHAT00000000105.1		ENSMODG00000043948	CD200	GL849999.1	21	45450
ENSSHAG00000000092	ENSSHAG00000000092.1	ENSSHAT00000000106	ENSSHAT00000000106.1		ENSMODG00000022836	RPS5	GL850070.1	21	2285
ENSSHAG00000000093	ENSSHAG00000000093.1	ENSSHAT00000000107	ENSSHAT00000000107.1				GL850454.1	21	20997
ENSSHAG00000000094	ENSSHAG00000000094.1	ENSSHAT00000000108	ENSSHAT00000000108.1	SEC62	ENSMODG00000016096	SEC62	GL850897.1	21	37139
ENSSHAG00000000094	ENSSHAG00000000094.1	ENSSHAT00000000109	ENSSHAT00000000109.1	SEC62	ENSMODG00000016096	SEC62	GL850897.1	21	37139
ENSSHAG00000000095	ENSSHAG00000000095.1	ENSSHAT00000000110	ENSSHAT00000000110.1	AGO3	ENSMODG00000017869		GL851009.1	21	22500
ENSSHAG00000000096	ENSSHAG00000000096.1	ENSSHAT00000000111	ENSSHAT00000000111.1				GL851071.1	21	6301
ENSSHAG00000000096	ENSSHAG00000000096.1	ENSSHAT00000000112	ENSSHAT00000000112.1				GL851071.1	21	6301
ENSSHAG00000000097	ENSSHAG00000000097.1	ENSSHAT00000000113	ENSSHAT00000000113.1		ENSMODG00000022837		GL851121.1	21	2431
ENSSHAG00000000098	ENSSHAG00000000098.1	ENSSHAT00000000114	ENSSHAT00000000114.1		ENSMODG00000028977		GL854234.1	21	3013
ENSSHAG00000000098	ENSSHAG00000000098.1	ENSSHAT00000000115	ENSSHAT00000000115.1		ENSMODG00000028977		GL854234.1	21	3013
ENSSHAG00000000099	ENSSHAG00000000099.1	ENSSHAT00000000116	ENSSHAT00000000116.1	SLC5A7	ENSMODG00000002650		GL854682.1	21	4209
ENSSHAG00000000100	ENSSHAG00000000100.1	ENSSHAT00000000117	ENSSHAT00000000117.1				GL854891.1	21	5505
ENSSHAG00000000101	ENSSHAG00000000101.1	ENSSHAT00000000118	ENSSHAT00000000118.1				GL855586.1	21	1247
ENSSHAG00000000102	ENSSHAG00000000102.1	ENSSHAT00000000119	ENSSHAT00000000119.1				GL855946.1	21	1901
ENSSHAG00000000103	ENSSHAG00000000103.1	ENSSHAT00000000120	ENSSHAT00000000120.1		ENSMODG00000025574		GL856569.1	21	2651
ENSSHAG00000000104	ENSSHAG00000000104.1	ENSSHAT00000000121	ENSSHAT00000000121.1				GL856824.1	21	1963
ENSSHAG00000000105	ENSSHAG00000000105.1	ENSSHAT00000000122	ENSSHAT00000000122.1			FIS1	GL856864.1	21	2767
ENSSHAG00000000106	ENSSHAG00000000106.1	ENSSHAT00000000123	ENSSHAT00000000123.1	EIF4H	ENSMODG00000013851	EIF4H	GL857015.1	21	31832
ENSSHAG00000000107	ENSSHAG00000000107.1	ENSSHAT00000000124	ENSSHAT00000000124.1				GL857044.1	21	51239
ENSSHAG00000000108	ENSSHAG00000000108.1	ENSSHAT00000000125	ENSSHAT00000000125.1				GL857106.1	21	1105
ENSSHAG00000000109	ENSSHAG00000000109.1	ENSSHAT00000000126	ENSSHAT00000000126.1				GL857516.1	21	15385
ENSSHAG00000000110	ENSSHAG00000000110.1	ENSSHAT00000000127	ENSSHAT00000000127.1		ENSMODG00000002032	RAD54L	GL857605.1	21	18672
ENSSHAG00000000111	ENSSHAG00000000111.1	ENSSHAT00000000128	ENSSHAT00000000128.1	RPS8	ENSMODG00000028389	RPS8	GL857690.1	21	1694
ENSSHAG00000000112	ENSSHAG00000000112.1	ENSSHAT00000000129	ENSSHAT00000000129.1		ENSMODG00000006692		GL857764.1	21	57617
ENSSHAG00000000112	ENSSHAG00000000112.1	ENSSHAT00000000130	ENSSHAT00000000130.1		ENSMODG00000006692		GL857764.1	21	57617
ENSSHAG00000000113	ENSSHAG00000000113.1	ENSSHAT00000000131	ENSSHAT00000000131.1	TRIM58	ENSMODG00000008884	TRIM58	GL857787.1	21	23027
ENSSHAG00000000114	ENSSHAG00000000114.1	ENSSHAT00000000132	ENSSHAT00000000132.1		ENSMODG00000005657	ARRB2	GL858638.1	21	11923
ENSSHAG00000000114	ENSSHAG00000000114.1	ENSSHAT00000000132	ENSSHAT00000000132.1		ENSMODG00000023389	ARRB2	GL858638.1	21	11923
ENSSHAG00000000114	ENSSHAG00000000114.1	ENSSHAT00000000132	ENSSHAT00000000132.1		ENSMODG00000037971	ARRB2	GL858638.1	21	11923
ENSSHAG00000000115	ENSSHAG00000000115.1	ENSSHAT00000000133	ENSSHAT00000000133.1			HMGA1	GL859573.1	21	5720
ENSSHAG00000000115	ENSSHAG00000000115.1	ENSSHAT00000000134	ENSSHAT00000000134.1			HMGA1	GL859573.1	21	5720
ENSSHAG00000000116	ENSSHAG00000000116.1	ENSSHAT00000000135	ENSSHAT00000000135.1	GLUL	ENSMODG00000006787		GL860780.1	21	2801
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000136	ENSSHAT00000000136.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000137	ENSSHAT00000000137.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000138	ENSSHAT00000000138.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000139	ENSSHAT00000000139.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000140	ENSSHAT00000000140.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000141	ENSSHAT00000000141.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000117	ENSSHAG00000000117.1	ENSSHAT00000000142	ENSSHAT00000000142.1		ENSMODG00000038708	SAHAI-01	GL861423.1	21	2392
ENSSHAG00000000118	ENSSHAG00000000118.1	ENSSHAT00000000143	ENSSHAT00000000143.1			BAZ2A	GL862059.1	21	20881
ENSSHAG00000000118	ENSSHAG00000000118.1	ENSSHAT00000000144	ENSSHAT00000000144.1			BAZ2A	GL862059.1	21	20881
ENSSHAG00000000119	ENSSHAG00000000119.1	ENSSHAT00000000145	ENSSHAT00000000145.1	GGA1	ENSMODG00000000524	GGA1	GL862065.1	21	7528
ENSSHAG00000000120	ENSSHAG00000000120.1	ENSSHAT00000000146	ENSSHAT00000000146.1				GL862381.1	21	5457
ENSSHAG00000000121	ENSSHAG00000000121.1	ENSSHAT00000000147	ENSSHAT00000000147.1	KEL	ENSMODG00000001067	KEL	GL862814.1	21	17093
ENSSHAG00000000121	ENSSHAG00000000121.1	ENSSHAT00000000148	ENSSHAT00000000148.1	KEL	ENSMODG00000001067	KEL	GL862814.1	21	17093
ENSSHAG00000000122	ENSSHAG00000000122.1	ENSSHAT00000000149	ENSSHAT00000000149.1			PAN2	GL863185.1	21	11350
ENSSHAG00000000122	ENSSHAG00000000122.1	ENSSHAT00000000150	ENSSHAT00000000150.1			PAN2	GL863185.1	21	11350
ENSSHAG00000000123	ENSSHAG00000000123.1	ENSSHAT00000000151	ENSSHAT00000000151.1				GL863510.1	21	3575
ENSSHAG00000000124	ENSSHAG00000000124.1	ENSSHAT00000000152	ENSSHAT00000000152.1	MDM2	ENSMODG00000007219		GL864239.1	21	30521
ENSSHAG00000000125	ENSSHAG00000000125.1	ENSSHAT00000000153	ENSSHAT00000000153.1	CHPF2	ENSMODG00000004429		GL864424.1	21	3598
ENSSHAG00000000126	ENSSHAG00000000126.1	ENSSHAT00000000154	ENSSHAT00000000154.1	NT5DC3	ENSMODG00000002283	NT5DC3	GL864534.1	21	17383
ENSSHAG00000000127	ENSSHAG00000000127.1	ENSSHAT00000000155	ENSSHAT00000000155.1		ENSMODG00000027321		GL864568.1	21	9878
ENSSHAG00000000127	ENSSHAG00000000127.1	ENSSHAT00000000156	ENSSHAT00000000156.1		ENSMODG00000027321		GL864568.1	21	9878
ENSSHAG00000000127	ENSSHAG00000000127.1	ENSSHAT00000000155	ENSSHAT00000000155.1		ENSMODG00000015511		GL864568.1	21	9878
ENSSHAG00000000127	ENSSHAG00000000127.1	ENSSHAT00000000156	ENSSHAT00000000156.1		ENSMODG00000015511		GL864568.1	21	9878
ENSSHAG00000000128	ENSSHAG00000000128.1	ENSSHAT00000000157	ENSSHAT00000000157.1				GL864660.1	21	1527
ENSSHAG00000000129	ENSSHAG00000000129.1	ENSSHAT00000000158	ENSSHAT00000000158.1	PDGFC	ENSMODG00000001723	PDGFC	GL864813.1	21	221625
ENSSHAG00000000130	ENSSHAG00000000130.1	ENSSHAT00000000159	ENSSHAT00000000159.1		ENSMODG00000007767		GL864912.1	21	94434
ENSSHAG00000000131	ENSSHAG00000000131.1	ENSSHAT00000000160	ENSSHAT00000000160.1	FAU	ENSMODG00000010095	FAU	GL864914.1	21	5117
ENSSHAG00000000132	ENSSHAG00000000132.1	ENSSHAT00000000161	ENSSHAT00000000161.1	MAN2B2	ENSMODG00000002889	MAN2B2	GL865140.1	21	70503
